stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,18.39,392.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,13.14,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,178.75,0,0,0,60.46,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,141.61,0,0,0,59.79,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,5,17,0,6,0,0,5,0,0,1,0,1,0,0,0,12,0,10,195,4,2,1,1,2,4,0,7,69,0,2,0
 24-34,0,0,2.46,8.21,0.82,61.56,0,0,9.03,0,0,2.46,1.64,0,0.82,1.64,0,41.04,0.82,22.16,629.6,0.82,8.21,4.1,0,1.64,0,0.82,0.82,153.5,0,9.03,0
 36-46,0,0,0,7.25,0,140.19,0,0,5.64,0,0,1.61,0,0,0,0.81,0.81,40.28,0.81,8.86,363.36,0.81,4.83,0.81,0,4.03,0,0,0,78.15,0,1.61,0
 48-58,0,0,0,1.72,0.57,193.37,0.57,0,13.2,0,0,0,0,0,0,0.57,0,38.44,1.15,6.31,169.27,0,0,0.57,0,1.15,0,0,0,29.26,0,2.3,0.57
 60-70,0,0,0,4.91,0,87.36,0,0,8.83,0,0,0,0.98,0,0,0.98,0,21.59,2.94,2.94,75.58,0,0,0,0,0,0,0,0,3.93,0,1.96,0
 72-82,0,0,0,2.94,0,62.83,0,0.98,15.71,0.98,0,0.98,0,0,0.98,0,0,34.36,3.93,10.8,96.2,0,0.98,0,0,0,0,0,0,0,0,3.93,0
 84-94,0,0,0,6.37,0,59.47,0,0,8.5,2.12,0,0,0,0,1.06,0,0,20.18,3.19,4.25,84.96,0,1.06,2.12,0,4.25,0,0,0,1.06,2.12,9.56,1.06
 96-106,0,0,0,3.28,0,38.25,0,0,13.11,4.37,0,0,1.09,0,2.19,0,0,24.04,1.09,3.28,60.11,0,1.09,1.09,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,2.3,0.77,44.43,0,0,11.49,0.77,0,0,0.77,0,0.77,1.53,0,17.62,0,5.36,65.11,0,1.53,1.53,0,0,0,0,0,0.77,0.77,0,0
120,0,0,0,0,0,41.16,0,0,3.92,0,0,0,0,0,0,0,0,19.6,0,0,54.87,0,0,0,0,0,0,0,0,0,0,1.96,0
