stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,27,0,0,0,0,1,0,1,0,52,0,0,51,0,0,0,0,2,16,0,0,19,3,0,0,0,0,245,3,0,0,2,6,0,0,0,0,0
 24-34,0,0,0,25.45,0,0,7.39,0,3.28,0,2.46,0,30.37,1.64,0.82,178.13,0,0.82,1.64,0,13.13,62.39,0,6.57,107.53,0,0.82,0.82,0,0,280.73,0,1.64,0.82,1.64,9.03,0,0,4.1,0,0
 36-46,0,0,0,16.11,0,0,8.86,0.81,11.28,0,4.03,0,1.61,0,0.81,78.96,0,0,0.81,0.81,4.83,49.95,1.61,3.22,53.98,0,1.61,0,0,0,273.93,0,0.81,0,0,9.67,0,0,0.81,0,0
 48-58,0,0,0,15.49,0,0,33.28,0.57,15.49,1.72,3.44,0.57,0.57,0.57,0,36.72,0,0,0.57,0.57,16.07,43.61,0,2.3,80.91,1.15,0.57,0,0,0,249.03,0,0.57,0,0,10.9,0,0.57,0,0,1.72
 60-70,0,0,0,26.5,0.98,0,40.24,0.98,15.7,0,6.87,0,0,0,0,46.13,0,0.98,0,0,19.63,49.08,0,0.98,72.63,0.98,0.98,0.98,0,0.98,410.28,0,0,0,0,11.78,0,0,0,0,1.96
 72-82,0,0,0,28.47,8.83,0,53.01,0,19.63,2.94,14.72,6.87,0,0,2.94,96.2,0.98,0,1.96,0,32.39,70.68,1.96,3.93,109.95,0,2.94,1.96,0,0,438.8,0,1.96,0.98,0,5.89,3.93,3.93,4.91,4.91,1.96
 84-94,1.06,0,0,73.28,11.68,0,60.54,3.19,56.29,3.19,10.62,20.18,0,5.31,3.19,161.43,3.19,2.12,0,1.06,23.36,108.33,2.12,4.25,111.51,1.06,8.5,3.19,0,1.06,1750.24,0,0,1.06,0,4.25,10.62,2.12,3.19,0,1.06
 96-106,0,0,0,198.9,24.04,4.37,148.63,3.28,95.08,0,36.06,81.96,1.09,0,12.02,243.7,1.09,10.93,9.84,1.09,88.52,171.58,6.56,22.95,251.35,0,10.93,9.84,0,3.28,1913.57,0,1.09,2.19,0,7.65,43.71,2.19,7.65,6.56,9.84
108-118,0,0,2.3,230.55,11.49,6.89,94.21,1.53,141.7,3.83,32.17,111.83,0,3.83,10.72,234.38,4.6,4.6,13.02,0.77,66.64,137.11,1.53,12.26,212.94,0.77,5.36,4.6,0,0,2085.72,0,0.77,3.06,0,6.89,53.62,2.3,12.26,3.83,2.3
120,0,0,0,180.3,15.68,7.84,48.99,1.96,70.55,3.92,13.72,41.16,0,0,9.8,119.55,0,3.92,9.8,0,45.08,82.31,0,1.96,129.35,1.96,5.88,0,0,0,1015.17,0,0,0,0,3.92,17.64,0,0,0,0
