stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,81.82,0,3.15,0,0,34.62,0,0,0,0
 14-21,0,0,9,5,0,2,0,0,0,4,1,1,0,0,0,0,0,1,7,0,165,48,2,0,0,0,1,178,0,496,2287,14,2,0,1
 24-34,0,0,8.21,1.64,0,15.6,215.89,0,0,4.1,0.82,0,0,0.82,2.46,0,0,0.82,35.3,0.82,178.95,151.04,0,1.64,0,0.82,9.85,2.46,1.64,260.21,709.22,27.91,5.75,0,1.64
 36-46,0,0,3.22,0,0,12.89,345.63,0,0.81,2.42,0,0,0.81,0,0.81,0,0,0,46.73,0,80.57,62.04,1.61,0,2.42,0.81,4.83,0,0.81,160.33,33.03,27.39,2.42,0,0.81
 48-58,0,0,0.57,0.57,0,17.21,214.6,0,1.72,2.87,0,0,0.57,0,0,0,0,0,34.43,0,85.5,43.04,0,0,1.15,0,1.15,0,0,75.74,0.57,6.89,1.15,0,0
 60-70,0,0,0,0,0,8.83,127.6,0,1.96,2.94,0,0,0,0,0,0,0.98,0,23.56,0,89.32,15.7,0,0,0,0,0.98,0.98,0,26.5,0,0,0,0.98,0
 72-82,0,0.98,0.98,0,0,10.8,81.48,0,1.96,5.89,0,0,0,0,0,0,0,0,29.45,0,103.07,13.74,0,0,0,0,1.96,0,0,12.76,0,1.96,0,0.98,0.98
 84-94,0,0,4.25,0,1.06,19.12,98.77,0,0,2.12,1.06,0,0,0,0,0,0,0,24.43,0,92.4,22.3,1.06,0,0,1.06,4.25,0,0,15.93,0,0,0,1.06,0
 96-106,0,0,2.19,1.09,0,10.93,110.38,3.28,0,4.37,0,0,0,0,1.09,1.09,1.09,0,22.95,0,142.07,17.49,0,0,0,0,1.09,0,1.09,15.3,0,0,1.09,3.28,0
108-118,0,0,3.83,0,0,4.6,95.75,0,0,0.77,0,0,0,0,0,0,0,0,19.15,0,148.6,18.38,0,0,0.77,0,0.77,0,0,13.02,0,0.77,0,3.06,0
120,0,0,3.92,1.96,0,7.84,80.35,0,0,1.96,0,0,0,0,0,0,0,0,17.64,0,166.58,19.6,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0
