stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,xanthophores
  3-4,26.36,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0
  5-6,49.04,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,6.13,18.39,0,0,0,0
  7-9,2.63,2.63,0,15.77,0,0,7.89,0,0,0,0,0,0,0,0,0,76.23,0,0,47.32,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,9.44,0,0,0,9.44,0,0,0,0,0,50.35,3.15,0,34.62,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,1,2,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,4.93,0.82,0,0,1.64,0,0,1.64,0
 36-46,0,0,0,0,0,0.81,7.25,0,0,0,0,0,0.81,3.22,0,0.81,8.06,0,0,0,0.81,0.81,0,3.22,0
 48-58,0,0,0,0,0.57,0,7.46,0.57,2.3,0,0,0,0,3.44,0,0.57,12.62,0,0,0,0,0,0,2.3,0
 60-70,0,0,0,0,0,0,11.78,0,2.94,0,0,0,0,1.96,0,0,9.82,0,0,0,1.96,0,0,1.96,0
 72-82,0,0,0.98,0,0,0,8.83,0,0,0.98,0,0,0,2.94,0,0,15.71,0.98,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,2.12,0,9.56,1.06,1.06,0,0,0,0,1.06,1.06,0,2.12,0,0,0,5.31,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,2.19,1.09,0,8.74,0,1.09,0,4.37,0,0,0,0
108-118,0,0,0,0,3.06,0,1.53,0,0.77,0,0,0.77,0,0.77,0,0.77,5.36,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,0,3.92,3.92,0,3.92,0,3.92,0,0,0,0,3.92,0,0,0,3.92,0,0,0,0
