stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,99,0,2,0,0,0,0,2,0,3,67,0,0,0,0,0
 24-34,0,0,1.64,4.1,0,0,8.21,1.64,0,0,11.49,0,0,0.82,0,1.64,0,0,0.82,0,0.82,0,0,0,835.63,0.82,37.76,0,0,0,1.64,2.46,0.82,0.82,217.53,0,0,0.82,0,0
 36-46,0,0,0,2.42,0,0,82.98,0.81,0,0,20.95,0,0,2.42,0,1.61,0,0,0,0,9.67,0,0,1.61,2123.74,0.81,24.98,0.81,0,0,3.22,4.03,2.42,0,383.5,0,0,4.83,0,1.61
 48-58,0,0,0.57,10.9,0,0,375.27,2.3,0,1.72,44.76,0,0.57,3.44,0.57,0,0.57,0,2.87,1.15,30.41,0,0.57,4.02,3042.89,1.15,23.53,2.3,0.57,0.57,3.44,0,1.15,0,562.9,0,0,2.3,0,4.59
 60-70,0,0,0.98,10.8,0.98,0,475.06,2.94,0,0.98,42.21,2.94,0.98,2.94,0.98,0,0,0,0.98,0,28.46,0,0,3.93,3598.26,2.94,15.7,0,0,0,3.93,1.96,0.98,0,425,0,0,0.98,0.98,1.96
 72-82,0,0,3.93,20.61,1.96,0,470.22,3.93,0.98,1.96,92.28,1.96,0,7.85,2.94,2.94,0.98,3.93,0,1.96,42.21,0,0,1.96,3198.25,0,36.32,3.93,0,0,3.93,0.98,1.96,0,258.18,0,1.96,2.94,2.94,2.94
 84-94,0,0,7.43,41.42,0,0,466.23,5.31,2.12,2.12,76.47,3.19,0,3.19,3.19,5.31,2.12,2.12,0,0,45.67,1.06,3.19,4.25,1687.58,0,24.43,3.19,0,0,5.31,2.12,2.12,0,152.93,1.06,1.06,2.12,3.19,0
 96-106,0,0,4.37,39.34,8.74,1.09,324.58,7.65,1.09,4.37,87.43,5.46,0,6.56,4.37,8.74,0,2.19,5.46,0,34.97,1.09,2.19,4.37,1537.64,0,43.71,4.37,0,1.09,14.21,0,1.09,0,68.85,2.19,3.28,7.65,2.19,1.09
108-118,0,0,0.77,22.98,3.06,1.53,235.15,6.13,3.06,3.06,66.64,4.6,0,1.53,3.83,1.53,1.53,0,1.53,0,22.98,0.77,0.77,8.43,1725.71,0,27.57,3.06,0,0,6.13,1.53,2.3,0,36,2.3,0,2.3,3.06,2.3
120,0,0,0,19.6,5.88,1.96,286.13,7.84,1.96,1.96,68.59,3.92,0,9.8,3.92,7.84,0,1.96,1.96,0,37.24,1.96,1.96,1.96,2106.77,0,13.72,7.84,0,0,3.92,1.96,3.92,0,48.99,0,5.88,5.88,3.92,1.96
