stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,10.51,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,0,0,0,31.47,0,12.59,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,6,0,0,0,0,0,9,4,0,99,287,1,0,0,0,0,0
 24-34,0,0,0,1.64,0,27.91,25.45,0,0,0.82,0,1.64,0,1.64,0.82,1.64,0,2.46,0,13.13,32.83,0,4.93,1.64,0,0,1.64,0,1.64,36.94,148.57,4.1,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,23.36,62.84,0,0,0.81,0,1.61,0.81,0,0,1.61,0,1.61,0,11.28,23.36,0.81,8.86,1.61,0.81,0,4.83,0,2.42,16.92,4.83,4.83,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,30.99,48.2,0,0,2.3,0,1.72,0,0,0,1.72,0,3.44,0.57,8.61,24.1,0.57,2.87,4.02,0,0.57,2.87,0,2.87,15.49,0,5.74,0,0,0.57,0,0
 60-70,0,0,0,0,0,28.46,41.22,0,0,2.94,0,1.96,0,0,0,0.98,0,7.85,0,9.82,14.72,0,4.91,5.89,0,0,0,0,0.98,6.87,0,1.96,0,0.98,0,1.96,0.98
 72-82,0,0,0,0,0.98,51.05,37.3,0,0,2.94,0,1.96,0,0,0,4.91,0,11.78,3.93,9.82,21.6,0,10.8,13.74,0,0,1.96,0,0.98,1.96,0,0,0,2.94,0,4.91,0
 84-94,0,0,0,2.12,3.19,52.04,40.36,0,0,4.25,1.06,2.12,0,1.06,0,2.12,0,12.74,3.19,16.99,11.68,0,4.25,22.3,0,1.06,3.19,0,0,8.5,0,0,0,2.12,0,7.43,0
 96-106,0,0,0,3.28,3.28,50.27,52.46,2.19,1.09,4.37,1.09,2.19,1.09,0,1.09,10.93,0,8.74,2.19,14.21,13.11,0,10.93,27.32,0,0,3.28,0,3.28,10.93,0,1.09,0,4.37,0,8.74,1.09
108-118,0,0,0,0.77,1.53,55.15,52.85,0,0,2.3,0.77,0,1.53,0,0,7.66,0.77,9.96,2.3,26.81,15.32,1.53,3.06,17.62,0,0,2.3,0,5.36,12.26,0,0,0.77,0,0.77,3.06,0.77
120,0,0,0,3.92,0,37.24,39.2,0,0,0,0,0,0,0,0,3.92,0,0,0,9.8,9.8,0,7.84,11.76,0,0,1.96,0,5.88,1.96,0,0,0,0,0,9.8,0
