stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,gut,hatching_gland,immune,mesenchyme,mural_cell,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord,vasculature
  3-4,448.05,9896.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.65,0,0,0,0
  5-6,263.57,3113.85,0,0,0,0,0,0,0,0,0,0,55.17,18.39,0,24.52,153.24,0,0,0,0
  7-9,23.66,13.14,21.03,0,49.95,0,0,0,13.14,0,0,0,496.83,23.66,0,186.64,7.89,5.26,0,0,0
 10-12,0,0,6.29,0,6.29,0,0,0,9.44,0,0,0,40.91,12.59,0,31.47,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0.81,0,0.81,0,0,1.61,0.81
 48-58,0,0,0,0,1.15,0.57,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,0,0.98,0.98,4.91,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0
