stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,2,12,1,2,1,0,0,0,0,0,2,7,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,7.39,0.82,0,0,1.64,0,0,0,0,0,0,0,0,6.57,0,0,3.28,69.77,0,0,5.75,0,0,0.82,0,0.82,3.28,18.06,0,0,0,0,0
 36-46,0,0,0,0.81,0,8.06,0.81,0.81,0,10.47,0,0,0,0,0,0,0,0,14.5,0,0.81,2.42,190.94,0,1.61,0,0,0.81,0,0,0.81,0.81,24.17,0,0,0,0,0
 48-58,0,0,0,2.3,0,77.46,0.57,2.87,2.87,22.38,0,0,0,0,0,0.57,0,0,40.74,0,0,10.9,317.31,0,0.57,6.31,0,0.57,0,0,0,0,23.53,0,0,0,0,0
 60-70,0,0.98,0,4.91,0,223.79,1.96,1.96,0,61.84,0,0,0,0.98,0,0.98,0,0,61.84,0,0,14.72,447.57,0,0,5.89,0,2.94,0,0.98,0,0,32.39,0,0.98,0,0.98,0
 72-82,0,1.96,0,2.94,0.98,288.61,1.96,0.98,3.93,135.47,0.98,0.98,1.96,0,2.94,0.98,0.98,0,114.85,0,0,7.85,425.06,0,0.98,21.6,0,2.94,0,0,0,0,30.43,0.98,2.94,1.96,3.93,1.96
 84-94,0,2.12,0,9.56,1.06,144.44,1.06,2.12,2.12,72.22,1.06,1.06,0,2.12,1.06,2.12,2.12,0,64.78,0,1.06,8.5,240.02,0,0,12.74,0,6.37,0,0,0,0,16.99,1.06,2.12,1.06,3.19,2.12
 96-106,0,4.37,0,4.37,2.19,118.03,2.19,4.37,0,98.36,1.09,1.09,0,3.28,0,4.37,0,0,57.92,0,1.09,14.21,205.46,1.09,1.09,25.14,0,10.93,0,0,1.09,0,8.74,3.28,5.46,1.09,0,2.19
108-118,0,2.3,0,8.43,0.77,100.34,2.3,6.89,0.77,90.38,0.77,0.77,0,0,7.66,3.06,0.77,1.53,61.28,0.77,1.53,11.49,192.26,0,2.3,22.98,0.77,5.36,0,1.53,0,0,6.13,2.3,0,0.77,0.77,1.53
120,0,1.96,0,5.88,0,60.75,1.96,3.92,1.96,70.55,1.96,1.96,1.96,0,1.96,1.96,0,1.96,52.91,0,0,9.8,172.46,7.84,3.92,25.48,0,7.84,0,0,0,0,3.92,0,0,0,0,5.88
