stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,25.18,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,3,0,2,1,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,1.64,0,0,0,17.24,0,0,0,0,0,0.82,0,0.82,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,0,0.81,0,0,1.61,9.67,0,0,0.81,0,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,0,3.44,0,1.72,0,0,0.57,0,0.57,1.15,10.33,0,0.57,0,0,0,0.57,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,3.93,0,0,0,0,2.94,0,0,0.98,9.82,0,0,0,0,0,0.98,0,0,0,0.98,0.98,0.98,0,0
 72-82,0,0,0,0,0.98,2.94,0,1.96,0,0,2.94,0,0.98,0.98,6.87,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,3.19,1.06,0,0,3.19,0,1.06,0,0,0,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,1.09,0,1.09,1.09,1.09,1.09,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0.77,0.77,0.77,0.77,0,0.77,0,0,0.77,4.6,0,0.77,0.77,0,0,2.3,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0
