stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,711.61,9158.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.8,0,0,0,0,0,0
  5-6,521.02,7576.23,6.13,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,306.48,24.52,0,0,73.56,110.33,0,0,0,0,0,0
  7-9,57.83,42.06,73.6,0,0,131.44,0,0,0,36.8,0,0,0,0,0,0,0,1345.9,47.32,0,0,552.03,2.63,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,31.47,0,0,0,6.29,0,0,0,0,0,0,0,204.55,3.15,0,0,59.79,0,3.15,0,12.59,0,0,0
 14-21,0,0,0,7,6,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,1,1,0,0,2,0,0,4,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0,2.46,0,0,0,0,0,0,0,0.82,0,0,3.28
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,1.61,0,0,0,0,0.81,0,0,0,0.81,1.61,0.81
 48-58,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0.57,1.72,0,0,0.57,1.72,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,1.96,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0,0,0.98,0,0,0,0.98,0,0,1.96,0,0,0,2.94,0,0.98,0,0,0,0,0,0,0,0,1.96
 84-94,0,0,0,2.12,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,2.12,0,0,1.06,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,1.53,0.77,0,0,0,0,1.53,0,0.77,0.77,3.83,1.53,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,3.92,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0
