stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,869.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,36.78,416.82,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0
  7-9,13.14,10.51,18.4,0,0,0,44.69,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,223.44,7.89,0,0,78.86,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,3.15,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,66.09,0,3.15,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,2,4,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,3,57,0,0,1,0,0,0,5,1,7,16,0,0,0,0
 24-34,0,0,0,2.46,0,0,4.93,0,0,0.82,4.1,0,0,0.82,0,0,0,0,0,0,9.85,0,0,6.57,80.44,0.82,0,1.64,0,0.82,0,0,0,0.82,18.06,0,0,0,0
 36-46,0,0,0,1.61,0,0,24.17,0,0,0,4.03,0,0,0,0,0,0,0,0,0,19.34,0,0,2.42,89.43,0.81,0.81,0.81,0,6.45,0,0,1.61,0,25.78,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,21.23,0,0,0.57,6.31,0,0,0.57,0.57,0.57,0.57,0.57,0,0,10.9,0,0,2.87,64.84,0,0.57,1.72,0,1.15,0,0,0,0,9.18,0,1.15,0,0.57
 60-70,0,0,0,2.94,0,0,23.56,0.98,0,0.98,8.83,0,0,0,0,0,0.98,0,0,0,15.7,0,0,0,51.04,0,0,0.98,0,1.96,0,0,0,0,6.87,0,0.98,0,0.98
 72-82,0,0,0,0.98,0,0,39.27,0,0,0,7.85,0.98,0,0.98,0.98,0.98,0,0,0.98,0.98,25.52,0,0,2.94,60.86,0,1.96,0.98,0,0.98,0,0,0,0,8.83,0.98,0,2.94,0.98
 84-94,0,0,0,3.19,1.06,0,20.18,0,0,0,5.31,1.06,0,0,1.06,0,0,1.06,0,0,14.87,0,1.06,3.19,31.86,0,1.06,0,0,1.06,0,0,0,0,6.37,0,1.06,0,0
 96-106,0,0,0,7.65,2.19,0,13.11,0,0,0,4.37,0,0,0,1.09,0,1.09,1.09,0,0,15.3,2.19,0,1.09,24.04,1.09,2.19,2.19,0,2.19,0,0,0,0,1.09,1.09,0,0,0
108-118,0,0,0,3.83,0.77,0.77,9.96,0,0,0,3.06,3.06,0,0,0,0.77,0,1.53,0,0.77,10.72,0,0,2.3,29.11,1.53,0.77,0.77,0,2.3,0,0,0,0,0,0,3.83,0,0
120,0,0,0,9.8,0,0,13.72,0,1.96,0,9.8,0,0,1.96,0,0,0,0,1.96,0,5.88,0,0,1.96,29.4,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0
