stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,5.75,0,3.28,22.98,0,0,1.64,0,0,0.82,0,0,0,0.82,1.64,0,0,4.1,20.52,0,0,0,0,0,4.93,0,18.06,0.82,5.75,0,0,0,0,0
 36-46,0,0,0,14.5,0,2.42,70.9,0,0,1.61,0,0,0.81,0,0,0,0,3.22,0,0,2.42,24.17,0.81,1.61,0,0,0,1.61,0,45.12,0.81,8.86,0,0,0,0,0
 48-58,0,0,0.57,29.84,0,26.4,140.58,0,0,1.72,0,0.57,0,0,0,0,0,8.03,0,0.57,9.75,47.05,0,1.15,1.15,0,0,1.72,0,48.77,0,13.77,0,0,0.57,0,1.15
 60-70,0,0,1.96,18.65,0,30.43,140.36,0.98,0.98,3.93,0,0,0,0,0,0,0,4.91,0,0,11.78,24.54,0,0,0,0,0,2.94,0,34.35,0,6.87,0,0,0,0,1.96
 72-82,0,0,1.96,72.64,0,26.5,140.38,0,0,3.93,0,0,0,0,0,0.98,0.98,14.72,0.98,0,10.8,29.45,0,6.87,0,0.98,0,3.93,0,29.45,0,3.93,0,0.98,0.98,0,0
 84-94,0,0,5.31,45.67,0,23.36,241.08,0,2.12,1.06,1.06,0,0,0,2.12,0,1.06,13.81,1.06,0,12.74,23.36,0,2.12,2.12,0,0,7.43,1.06,58.41,0,6.37,1.06,0,2.12,0,0
 96-106,0,0,5.46,41.53,0,26.23,406.54,2.19,2.19,9.84,1.09,0,2.19,1.09,0,0,2.19,9.84,1.09,0,17.49,52.46,0,0,0,0,1.09,7.65,0,52.46,0,4.37,0,1.09,1.09,1.09,0
108-118,0,0,6.89,42.89,1.53,19.92,284.17,0.77,0,8.43,0.77,0,0,0,0.77,0.77,4.6,14.55,0,0,25.28,39.83,0,0.77,1.53,0,0,7.66,0,28.34,0,0.77,0,0.77,0,0.77,0.77
120,0,0,1.96,52.91,0,7.84,146.98,0,0,9.8,0,0,1.96,0,1.96,0,3.92,7.84,1.96,0,7.84,21.56,0,3.92,0,0,0,3.92,0,9.8,0,0,0,0,0,0,0
