stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,lateral.line,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature
  3-4,92.25,1923.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0
  5-6,30.65,514.89,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,6.13,12.26,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,26.29,2.63,0,0,7.89,0,18.4,0,0,0
 14-21,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3
 24-34,0,0,0,1.64,0,0,0,0,0.82,13.95,0,0,1.64,0,0,0,0,0,0.82,0,0,8.21
 36-46,0,0,0,0,0.81,0,0,0,0,8.86,0,0,0,0,0,0,0,0,0,0,0,4.03
 48-58,0,0,0,0,0,0,0,0,0,18.94,0,1.15,0,0,0,0,0,0,0,0,0.57,2.3
 60-70,0,0,0,0,0.98,0,0,0,0,17.67,0,0.98,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,1.96,0,0,0,40.25,0,0,0,0,0,0,0,0,0,0,0,2.94
 84-94,0,0,0,1.06,0,0,0,0,0,44.61,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,2.19,4.37,0,0,0,0,0,73.22,0,1.09,0,0,1.09,0,0,0,0,0,0,2.19
108-118,0,0,0,0.77,0,0,0.77,0,0.77,60.51,0,1.53,2.3,0,0,0.77,0,0,0,0,0,4.6
120,0,0,0,3.92,0,0,0,0,0,60.75,1.96,0,1.96,0,0,0,0,0,0,0,1.96,5.88
