stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,47,8,0,3,0,0,0,21,0,1,0,0,0,0,0,0,3,0,0,7,110,4,4,4,12,0,31,0,30,22,4,37,83,0,0,2,0,0
 24-34,0.82,0.82,5.75,0,0,8.21,0.82,1.64,0,16.42,0.82,1.64,0,5.75,0,0,0,0,13.95,0,0,1.64,158.43,5.75,9.03,0.82,0,0,45.15,0.82,0.82,5.75,1.64,4.93,76.34,0,0,3.28,0,0
 36-46,0,0,1.61,0,0,13.7,0,0.81,0,12.89,1.61,0,0,0,0,0.81,0,0.81,8.06,0,0.81,1.61,253.79,4.03,17.72,0.81,0,0,34.64,0.81,0,7.25,0,0,67.68,0,0,0.81,0,0
 48-58,0,0,1.15,0,0,16.64,0,0.57,0,15.49,0,0.57,0,0.57,0,0.57,0.57,0.57,11.48,0,0.57,0.57,215.75,2.3,13.2,1.72,0,0,14.35,0,0,0.57,0.57,0,54.51,0,0,0.57,0,0
 60-70,0,0,0,0,0,41.22,0.98,0.98,0.98,18.65,0,0.98,0,0,0.98,1.96,0,0.98,17.67,0.98,1.96,0.98,419.11,0,16.69,0.98,0,0,5.89,0,0,1.96,0,0,54.97,0,0,0.98,0,0.98
 72-82,0.98,0.98,1.96,5.89,0,43.19,0,0,2.94,34.36,0,0,0,0,0,0,0,0,44.17,0,0.98,2.94,305.3,0,22.58,2.94,0,0,2.94,0,0,0.98,0,0,34.36,1.96,0.98,0,1.96,0
 84-94,1.06,1.06,1.06,1.06,0,38.23,0,0,0,22.3,0,0,1.06,0,1.06,1.06,0,2.12,24.43,0,0,2.12,152.93,0,12.74,5.31,0,0,18.05,0,0,1.06,0,0,30.8,1.06,1.06,2.12,1.06,2.12
 96-106,2.19,0,1.09,3.28,1.09,46.99,0,1.09,3.28,22.95,3.28,0,0,1.09,0,3.28,0,1.09,27.32,2.19,0,2.19,140.98,1.09,25.14,12.02,0,1.09,4.37,0,0,0,0,0,9.84,1.09,0,2.19,2.19,0
108-118,1.53,0.77,2.3,1.53,0.77,29.11,0.77,0,2.3,13.79,0.77,0.77,0,1.53,2.3,2.3,0,0.77,14.55,0,0.77,0.77,166.98,0,14.55,5.36,0,0,5.36,0,0,2.3,0,0,8.43,0,0.77,0,0.77,0
120,0,0,5.88,0,1.96,41.16,0,0,1.96,11.76,0,0,1.96,0,0,5.88,1.96,1.96,17.64,1.96,1.96,1.96,203.82,0,7.84,1.96,0,0,3.92,0,0,0,0,0,7.84,0,3.92,0,0,0
