stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,iridophores,liver,melanocytes,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,5.64,0,3.22,0.81,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,1.15,0,0,0,2.87,0,0,0,0,0,0,2.87,0.57
 60-70,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,6.87,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,25.49,1.06,0,0,0,0,3.19,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,19.67,0,0,1.09,0,1.09,0,1.09,3.28,0,0,1.09,2.19,2.19,0
108-118,0,0,1.53,0.77,27.57,0,0,0,0.77,0.77,0,0.77,3.83,0,0,0,3.06,0,0.77
120,0,0,0,0,5.88,0,0,0,0,1.96,0,0,1.96,1.96,0,0,3.92,0,0
