stage,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,5,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,2,12,1,0,0,0,0,1,1,0,0,10,5,0,0,0,0
 24-34,0,0.82,0,1.64,0,0,0,0,0.82,0,0,0,0,0,0,0,0,1.64,11.49,0,0,0.82,0,0,3.28,0,0.82,0,1.64,2.46,0,0.82,0,0.82
 36-46,0,1.61,0,0,0,0.81,0,0,0.81,0,0,0,0,0.81,4.03,0,0,0.81,12.09,0,0,0,0,0,0.81,0,0,0,0,3.22,0,1.61,0,0
 48-58,0,0,0,2.3,0,0,1.72,0,0,0,0,0,0,0,2.87,0,0,0,8.61,0,0.57,0,0,0,0,0,0,0,0,3.44,0,0,0,0
 60-70,0,0.98,0,6.87,0,0,0.98,0,0,0,0.98,0,0.98,0,3.93,0,0,0.98,10.8,0,0,0,0,0,1.96,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0.98,0,9.82,0,0.98,4.91,0,0,0,0,0,0,0,4.91,0,0,0,16.69,0,0.98,0,0,0,0,0,0,0.98,0,0.98,0,2.94,0,0.98
 84-94,0,2.12,0,0,0,0,2.12,0,0,1.06,0,1.06,0,0,1.06,1.06,0,1.06,5.31,0,0,0,0,0,0,0,0,0,0,1.06,1.06,0,0,0
 96-106,0,2.19,1.09,5.46,2.19,0,2.19,1.09,1.09,1.09,0,0,0,1.09,9.84,0,0,0,8.74,0,1.09,0,0,1.09,1.09,0,0,0,0,1.09,0,0,0,0
108-118,0,1.53,0,2.3,0,0,2.3,0,0.77,0.77,0,1.53,0,0,0,0,0,1.53,3.06,0,0,0.77,0,0.77,0.77,0,0,0,0,0,0,0,0,0
120,1.96,5.88,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,3.92,0,3.92,0,7.84,0,1.96,0,0,1.96,0,0,0,0,0,0,0,1.96,1.96,0
