stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,xanthophores
  3-4,197.67,3228.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0
  5-6,128.72,1753.08,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,12.26,30.65,0,0,0,0,0,0
  7-9,23.66,23.66,47.32,0,0,31.54,0,0,44.69,0,0,0,0,617.75,39.43,0,205.04,2.63,5.26,0,0,0,0,0
 10-12,0,3.15,15.73,0,0,44.06,0,0,3.15,0,0,0,0,195.11,15.73,0,66.09,0,0,0,9.44,3.15,0,0
 14-21,0,0,0,6,2,4,2,1,0,1,1,1,4,37,1,1,2,2,1,13,1,8,20,0
 24-34,0,0,0.82,0,0,0.82,0.82,0.82,0,0,0,0,0,8.21,0,0,0,8.21,0,0,0,1.64,2.46,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,4.03,0,0,0,2.42,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,2.87,0.57,0,0,1.72,0,0,0,0,0.57,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0.98,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0,2.12,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0,1.09,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
