stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0
 24-34,3.28,0,0,0,0,0,2.46,4.93,0,0,2.46,0.82,9.03,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,3.22,0.81,0.81,0,0,0,2.42,0,0,2.42,0,0,0,0
 48-58,0,1.15,0.57,0,0,0,3.44,1.72,1.15,0.57,9.18,0,6.89,0,0,0,0,1.15,0,0
 60-70,0,1.96,0,0,0,0.98,6.87,2.94,0.98,0,10.8,0,12.76,0,0,2.94,0,0.98,0,0
 72-82,0,1.96,0,0,0,0,9.82,4.91,2.94,0.98,10.8,0,11.78,0,0,0,0,0,0,0
 84-94,1.06,0,0,1.06,0,0,10.62,6.37,2.12,0,6.37,0,16.99,0,1.06,5.31,0,0,1.06,0
 96-106,1.09,0,0,0,2.19,0,13.11,4.37,5.46,0,10.93,0,15.3,0,1.09,0,0,2.19,1.09,1.09
108-118,0,1.53,0,0,3.06,0,8.43,6.89,3.06,0,6.89,0.77,9.96,0,0,2.3,0,0.77,0,0
120,0,0,0,0,3.92,0,7.84,1.96,1.96,0,7.84,0,15.68,0,0,0,0,1.96,0,0
