stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,31.47,3.15,0,9.44,0,0
 14-21,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0
 24-34,0,0.82,0,2.46,0,0,0,0,0.82,18.88,0,0.82,0,2.46,0
 36-46,0,0,0,4.03,0,0,1.61,0,0,26.59,0,0,0,2.42,0
 48-58,0,0.57,0,10.33,2.3,0,1.15,0,0,36.15,0,0,0,3.44,0
 60-70,0,0.98,0,14.72,0.98,0,1.96,0,0,26.5,0,0,0,5.89,0
 72-82,0,0.98,0,8.83,1.96,0,0.98,0.98,0,27.49,0,0,0,0,0.98
 84-94,0,0,0,8.5,0,0,1.06,0,0,14.87,0,0,0,1.06,0
 96-106,0,0,0,1.09,2.19,1.09,0,0,0,7.65,0,0,0,0,0
108-118,0,0,0.77,3.06,0,0,1.53,0,0,10.72,0,0,0,0,0
120,0,0,0,3.92,1.96,0,0,0,0,13.72,0,1.96,0,3.92,0
