stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,8,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,94.4,2.46,0,0,0,22.98,0,0.82,0,0
 36-46,0,0,0,0,0,0,2.42,0,2.42,0,0,0,0,0.81,0,0,321.46,4.83,0,0,0,42.7,0,0,0,0
 48-58,0,0,0,0,0.57,0,18.36,0,8.61,0,0,0,0,0,0,1.15,372.97,1.15,0,0,0.57,45.33,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,49.08,0,11.78,0.98,0,0,0,0,0,1.96,688.05,0.98,0,0,0,64.78,0,0,0,0
 72-82,0,0,0,0,1.96,0,71.66,0,22.58,0,0,0,0,0,0,3.93,588.02,5.89,0,0.98,0,33.38,0,0,0,0
 84-94,0,0,0,0,0,1.06,44.61,2.12,18.05,0,0,1.06,0,1.06,0,4.25,321.8,2.12,0,1.06,0,19.12,1.06,0,0,1.06
 96-106,0,0,0,0,6.56,0,32.79,0,13.11,0,0,0,1.09,0,0,4.37,245.89,4.37,2.19,0,0,10.93,0,1.09,0,0
108-118,0,0,0,0,1.53,0,16.09,0,10.72,0,0,0,0,0,0.77,0.77,266.56,0,0.77,0.77,0,2.3,0.77,0,0.77,1.53
120,0,0,0,0,3.92,0,21.56,0,3.92,1.96,1.96,0,0,1.96,0,11.76,290.05,0,0,0,0,5.88,0,0,0,0
