stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,liver,mesenchyme,mucous,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,6.29,0,0,0,3.15,0,0,0,0,22.03,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,2,1
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0,1.64,2.46
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0.81,0.81
 48-58,0,0,0,0,0.57,0,0.57,0.57,0,0,0.57,0,0,1.15,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,1.06,0,0,1.06,0,0,3.19,0,1.06,0,1.06,1.06,0,0,1.06
 96-106,0,0,2.19,0,0,3.28,0,0,0,0,1.09,1.09,0,0,0,0,0,10.93,0,0,0,1.09
108-118,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0.77,0.77,0,0,0,4.6,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,11.76,0,0,0,0
