stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,6.29,0,12.59,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,65,7,0,2,0,0,0,0,1,0,1,1,0,0,0,0,7,0,0,2,6,0,1,1,2,0,47,2,0,0,2,0,0,0,4,0,0
 24-34,0,0,0,0,100.97,0.82,0,8.21,0,1.64,0,0,4.1,0,29.55,1.64,0,2.46,0,0,4.1,6.57,0,0.82,38.58,0,0.82,0,0,0,251.18,0,2.46,0,1.64,4.93,0,0,30.37,0,0
 36-46,0,0,0,0,123.27,0.81,0,4.83,0,26.59,0.81,0,4.03,0,41.89,1.61,0.81,0.81,0,0.81,3.22,4.03,0.81,0,26.59,0,1.61,0.81,0,0,196.58,0,3.22,0,0,4.83,0,0,42.7,0,1.61
 48-58,0,0,0.57,0,86.64,0.57,0,6.31,0,18.94,1.15,1.15,1.15,0,39.59,0,0,0,0,0,5.16,4.02,0,0,12.62,0,0.57,0.57,0,0,56.23,0,0.57,0,0,2.3,0,0,17.21,0,1.72
 60-70,0.98,0,0,0,112.88,0.98,0,19.63,0,30.43,0,0.98,1.96,0,61.84,0,0,1.96,1.96,0,10.8,1.96,1.96,0.98,30.43,0,0.98,1.96,0,0,34.35,0,4.91,0,0,3.93,0,1.96,39.26,1.96,0
 72-82,0,0,0,0,115.84,0,0,5.89,0,12.76,0,7.85,4.91,0,61.84,0,0,3.93,2.94,0,6.87,0.98,1.96,0.98,17.67,0,1.96,0.98,0,0.98,1.96,0,0,0,0,0.98,0.98,0.98,38.28,3.93,1.96
 84-94,0,0,1.06,0,216.66,0,0,6.37,0,24.43,2.12,1.06,4.25,0,84.96,3.19,0,9.56,3.19,0,3.19,6.37,2.12,0,4.25,0,5.31,0,0,0,13.81,0,7.43,0,0,1.06,0,3.19,29.74,7.43,0
 96-106,0,0,2.19,0,278.68,3.28,1.09,5.46,0,16.39,1.09,3.28,18.58,3.28,67.76,10.93,0,9.84,10.93,0,21.86,4.37,2.19,0,21.86,0,6.56,5.46,0,1.09,25.14,0,5.46,0,0,0,1.09,0,84.15,7.65,0
108-118,0,0,0.77,0,212.17,0.77,0.77,6.89,0.77,11.49,0.77,3.06,16.09,0,52.09,10.72,0,6.89,3.83,0,16.09,0,0.77,3.83,10.72,0,2.3,2.3,0,4.6,19.92,0,10.72,0.77,0,0.77,1.53,1.53,75.83,6.13,0
120,0,0,0,0,121.51,1.96,0,1.96,0,9.8,0,3.92,15.68,0,88.19,3.92,0,1.96,1.96,0,15.68,3.92,0,0,9.8,0,1.96,0,0,0,11.76,0,11.76,0,0,0,1.96,0,47.03,3.92,0
