stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,4,0,0,0,0,2
 24-34,0,0,0,0,0,0,0,12.31,0,0,0,0,9.85
 36-46,0,0,0,0,0,0,0,12.09,0,0,0,0.81,2.42
 48-58,0,0,0,1.15,0,0.57,0,12.05,0.57,0,0,0,1.72
 60-70,0,0,0,0.98,0,0,0,14.72,0,0,0,0,1.96
 72-82,0,0,0,3.93,0,0,1.96,12.76,0,0,0,0,0.98
 84-94,0,0,0,8.5,0,2.12,0,9.56,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,0,0,3.28,0,0,0,0,0
108-118,0,0,0,2.3,0,0.77,0,8.43,0,0,0,0,0
120,0,0,0,3.92,0,0,0,5.88,0,0,0,0,0
