stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pgc,somites,spinal.cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,5,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,8,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,14.78,1.64,0.82,0,0,1.64,8.21,0
 36-46,0,0,0,2.42,0,0,0,0,0,0,0,0,0,44.31,0,0,0,0,0,18.53,0
 48-58,0,0.57,0,1.15,0,1.72,0,0,0,0,1.15,0,1.15,24.67,0,0,0,0,0,14.35,0
 60-70,0.98,1.96,0,7.85,0,3.93,7.85,0,0,0,0,0,0,18.65,0,0,0,0,0,9.82,0
 72-82,0,11.78,0,2.94,0,7.85,27.49,0,0.98,0.98,1.96,0,1.96,15.71,0,0,0.98,0,0,1.96,0.98
 84-94,3.19,15.93,1.06,1.06,1.06,4.25,26.55,1.06,3.19,3.19,3.19,0,1.06,11.68,0,0,2.12,0,0,2.12,0
 96-106,2.19,30.6,0,3.28,0,2.19,42.62,1.09,1.09,0,1.09,0,0,7.65,0,0,5.46,1.09,0,2.19,1.09
108-118,0.77,24.51,0,2.3,0,0,26.81,0.77,3.06,0,3.83,0.77,0.77,8.43,0,0,3.83,0,0,0,0
120,0,9.8,0,3.92,0,1.96,35.28,0,0,0,0,1.96,1.96,5.88,0,0,1.96,0,0,0,0
