stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0
 48-58,0,0,0.57,0,0.57,0.57,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,4.91,0,0,0.98,0.98,0,0,0,0,0
 72-82,0,0.98,1.96,0.98,0,1.96,0,0,1.96,0,18.65,0,0,3.93,0,0.98,0,0,0.98,0
 84-94,1.06,0,0,0,0,0,1.06,0,5.31,1.06,32.92,1.06,0,2.12,0,0,1.06,0,1.06,2.12
 96-106,1.09,0,2.19,2.19,0,1.09,0,0,7.65,0,29.51,2.19,0,3.28,0,0,1.09,0,1.09,0
108-118,0.77,0.77,2.3,0,0,0,0.77,0.77,3.06,0,26.04,0.77,0.77,3.83,0,1.53,0,0.77,0,1.53
120,0,1.96,0,0,0,0,0,0,1.96,0,41.16,0,0,1.96,0,1.96,0,0,0,3.92
