stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,26.29,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,0,0,0,7.89,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,44.06,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,12.59,25.18,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,51,5,0,0,0,1,0,0,3,0,0,3,0,0,5,0,6,0,0,1,16,2,0,1,0,161,2,1,4,8,0,0,1,0,0
 24-34,0,0,0,0.82,40.22,1.64,0,3.28,0.82,12.31,0,1.64,2.46,0.82,0,23.8,0,0.82,5.75,0.82,1.64,7.39,0,3.28,51.71,0,3.28,0,0,206.03,0,0,0.82,9.03,0,0,0.82,0,0
 36-46,0,0,0,0,12.89,0,0,4.83,2.42,13.7,0,1.61,2.42,0,0,14.5,0,0,0,0,6.45,5.64,0,0,42.7,0,5.64,0,0,217.53,0,0,0,7.25,0,0,2.42,0,0
 48-58,0,0,0,0,11.48,0,0,17.21,2.3,21.23,0.57,2.87,2.87,0.57,0,5.74,0,0.57,0,0,4.02,10.33,0,1.72,40.17,0,7.46,0.57,0,133.7,0,0,0,5.16,0,0,2.3,0,0
 60-70,0,0,0,0,18.65,0,0,22.58,0.98,37.3,0.98,2.94,16.69,2.94,0,8.83,0,0,0,0.98,7.85,8.83,1.96,0.98,21.59,0,6.87,0,0,133.49,0,0,0,1.96,1.96,0,2.94,0,0
 72-82,0,0,0,0,36.32,0.98,0,26.5,0.98,37.3,0,3.93,85.4,2.94,0,12.76,0,3.93,0,0,8.83,20.61,0,0.98,30.43,0,10.8,0,0,116.82,0,0,0,0.98,10.8,0,10.8,0,0
 84-94,0,0,0,0,33.99,3.19,0,26.55,1.06,58.41,0,5.31,172.05,1.06,0,15.93,0,2.12,2.12,0,4.25,13.81,1.06,0,9.56,0,9.56,1.06,0,301.62,0,1.06,0,0,18.05,0,4.25,0,0
 96-106,0,0,2.19,0,60.11,1.09,1.09,26.23,0,80.87,0,3.28,214.2,0,0,33.88,1.09,3.28,3.28,0,6.56,14.21,1.09,0,46.99,0,25.14,2.19,0,180.32,0,0,0,2.19,43.71,1.09,15.3,0,1.09
108-118,0,0,0,1.53,71.23,1.53,5.36,33.7,2.3,111.83,0.77,4.6,216.77,0,0.77,24.51,0.77,3.83,3.06,0,6.13,10.72,0,1.53,37.53,0,18.38,0,0,134.81,0,0,0,0,53.62,0,14.55,0.77,0
120,1.96,0,0,0,56.83,0,0,21.56,1.96,80.35,0,5.88,115.63,0,1.96,19.6,0,0,1.96,0,1.96,11.76,0,1.96,29.4,0,17.64,1.96,0,62.71,0,1.96,0,0,21.56,0,21.56,0,0
