stage,epidermis,eye,glial,immune,lateral.line,mesenchyme,muscle,neural,otic,pericytes,presomitic.mesoderm,pronephros,somites,spinal.cord
 14-21,1,0,0,0,0,0,0,1,0,0,2,1,1,0
 24-34,0.82,0,0,0,0,0,0,5.75,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,3.22,0,0.81,0,0,0,1.61
 48-58,0.57,1.72,0,0.57,0,0.57,0,9.18,0.57,0,0,0,0,1.72
 60-70,0,2.94,0.98,0,0.98,0.98,0,1.96,0,0,0,0,0,0
 72-82,0,4.91,2.94,0,0,1.96,0,2.94,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,2.12,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,1.09,1.09,1.09,0,0,0,0,0,0
108-118,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0
