stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,8,1,0,2,0,0,0,0,0,1,2,0,0,1,0,0,0,3,0,0,1,111,1,0,0,0,7,4,0,0,1,0,0,0,1,0,1
 24-34,0,0,33.66,0,0,13.95,0,2.46,1.64,4.1,0,0,3.28,0.82,5.75,0.82,1.64,0,0.82,48.43,0.82,0,1.64,993.24,0,3.28,0.82,0,36.12,0,0,0,4.93,33.66,0,0,2.46,0,0.82
 36-46,0,0,52.37,8.06,0,102.32,0.81,7.25,0.81,95.07,0.81,0,6.45,0.81,0,0,7.25,0.81,4.03,151.47,4.83,0.81,11.28,2612.79,0.81,5.64,3.22,0,76.54,0,0,0,0,223.98,0,0,10.47,0,0.81
 48-58,0,1.72,60.82,14.35,0,411.99,2.87,9.75,3.44,177.88,5.16,0.57,8.03,0.57,4.59,2.3,9.75,2.3,5.16,284.03,4.02,7.46,24.1,3635.05,0.57,1.72,5.16,1.72,171.57,0,0.57,0.57,0,424.04,0,1.15,20.66,0.57,2.87
 60-70,0,0,79.5,14.72,0,506.47,4.91,9.82,6.87,132.51,4.91,0.98,14.72,2.94,2.94,0,9.82,0.98,0.98,321.94,8.83,4.91,15.7,3526.61,0,1.96,7.85,3.93,184.53,0,0,0,0,305.25,0.98,3.93,17.67,1.96,5.89
 72-82,1.96,0,135.47,77.55,0,534.02,1.96,13.74,15.71,149.21,12.76,0,9.82,5.89,16.69,2.94,11.78,0.98,2.94,443.71,17.67,14.72,25.52,2818.35,0.98,7.85,10.8,1.96,279.77,0,0.98,0.98,0,155.1,5.89,6.87,30.43,13.74,9.82
 84-94,1.06,0,185.86,42.48,1.06,469.42,2.12,43.54,7.43,101.96,11.68,0,9.56,12.74,29.74,4.25,10.62,1.06,7.43,263.39,25.49,14.87,24.43,1474.11,2.12,7.43,13.81,4.25,651.03,0,2.12,1.06,0,104.08,2.12,5.31,26.55,14.87,5.31
 96-106,1.09,0,243.7,79.78,0,287.42,3.28,26.23,10.93,93.98,20.76,0,8.74,15.3,19.67,2.19,24.04,7.65,3.28,259,28.41,7.65,14.21,1225.08,2.19,15.3,14.21,3.28,562.82,0,1.09,3.28,0,37.16,6.56,4.37,30.6,25.14,6.56
108-118,0.77,0,177.7,32.17,2.3,177.7,2.3,37.53,5.36,53.62,19.92,0,6.13,6.13,26.04,2.3,13.79,2.3,13.02,212.17,16.85,9.19,6.13,1423.16,0,9.19,8.43,2.3,422.81,0,0,0,0,21.45,5.36,3.83,23.74,6.89,4.6
120,0,0,166.58,45.08,1.96,256.73,3.92,31.36,11.76,70.55,25.48,0,1.96,11.76,15.68,1.96,9.8,1.96,3.92,152.86,11.76,7.84,17.64,1471.8,3.92,9.8,7.84,0,223.42,0,1.96,0,0,17.64,5.88,1.96,25.48,11.76,1.96
