stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,16,2,0,1,0,0,7,2,0,3,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,2.46,0,0,0,0,0,0,0,9.03,0,0.82,0,10.67,0,0,5.75,20.52,0.82,0.82,1.64,0,0,16.42,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,3.22,0,0,2.42,0.81,0.81,0.81,0,0,0.81,0.81,3.22,0,0,0,20.14,0,0.81,5.64,30.62,0,1.61,1.61,0,0,15.31,0,0.81,4.03,0,0.81,0,0.81,0
 48-58,0,0,0,0.57,0,0,2.87,4.59,1.72,0.57,4.59,0,1.15,0,2.87,0.57,0.57,0,22.95,1.15,1.15,8.61,30.41,0,0,1.15,0,0,14.35,0,0,4.59,0,0,1.15,0,0
 60-70,0,0,0,0.98,0,0,6.87,0.98,0.98,0,13.74,0,0,1.96,3.93,2.94,0,1.96,27.48,1.96,0.98,7.85,68.71,0,0.98,1.96,0,0,14.72,0,1.96,9.82,0,0,0.98,0,0.98
 72-82,0,0,0,3.93,0.98,0,22.58,0.98,0,0,11.78,0,0,1.96,8.83,3.93,0,0,67.73,0.98,5.89,3.93,57.92,0,1.96,2.94,0,0.98,21.6,0,0,4.91,0.98,5.89,3.93,2.94,0
 84-94,0,0,1.06,5.31,0,0,11.68,3.19,0,0,11.68,4.25,1.06,7.43,10.62,4.25,0,1.06,37.17,1.06,5.31,2.12,28.68,0,2.12,6.37,0,0,43.54,0,0,2.12,0,2.12,0,3.19,1.06
 96-106,0,0,0,12.02,1.09,1.09,20.76,0,2.19,0,15.3,5.46,0,3.28,15.3,5.46,0,1.09,32.79,0,7.65,6.56,32.79,2.19,1.09,2.19,0,1.09,41.53,0,2.19,0,0,2.19,0,6.56,0
108-118,0,0.77,0.77,13.02,0,0,28.34,2.3,1.53,0.77,16.85,6.13,0.77,10.72,16.09,7.66,0,2.3,26.04,0,3.83,2.3,59.75,0,2.3,3.83,0,0.77,37.53,0,2.3,3.06,3.06,1.53,0,1.53,0.77
120,0,0,0,7.84,1.96,0,35.28,5.88,0,0,13.72,3.92,0,1.96,15.68,1.96,0,0,13.72,0,5.88,3.92,66.63,0,3.92,9.8,0,1.96,19.6,0,1.96,1.96,0,0,0,3.92,0
