stage,epidermis,eye,fast.muscle,fin.epithelia,glial,ionocyte,melanocytes,mesenchyme,neural,periderm,pronephros,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,1,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0,1.64,0
 36-46,0,2.42,0,0,0,0,0,0,1.61,0,0,0.81,0.81
 48-58,0.57,2.87,0,0,0,0,0,0.57,6.89,0,0,2.3,0
 60-70,0,4.91,0,0,0.98,0,0,1.96,3.93,0,0,0,0
 72-82,0,0.98,0,0,0.98,0,0,2.94,1.96,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,3.19,0,0,0
108-118,0,0,0.77,0.77,0,0,0,0.77,1.53,0,0,0,0
120,0,0,0,0,1.96,1.96,0,0,3.92,0,0,0,0
