stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,5,64,4,0,13,0,1,0,3,5,1,1,0,1,0,0,0,0,15,1,0,10,127,2,0,4,5,0,4,6,0,0,1,49,0,0,4,0,0
 24-34,0,0.82,21.34,1.64,0,5.75,0,2.46,1.64,6.57,1.64,0,1.64,0,0.82,0,0.82,0,0.82,18.88,1.64,0,6.57,130.52,0.82,0,2.46,0,0,9.85,0,0.82,0,1.64,39.4,0,0,7.39,0,0
 36-46,0,0,5.64,0.81,0,7.25,0,1.61,0.81,7.25,0.81,0.81,0.81,0.81,0,0,0,0,0,37.87,2.42,0,11.28,78.15,2.42,0.81,2.42,0,0,8.86,0.81,2.42,0,0,28.2,0,0,11.28,0,0.81
 48-58,0.57,0,2.3,0,0,5.16,0.57,2.3,1.72,4.02,0,0,1.72,1.15,1.15,0,1.15,0,0.57,65.41,3.44,1.72,15.49,34.43,1.15,1.15,1.72,0,0,7.46,0,0,0,0,19.51,0,0.57,5.16,0,1.72
 60-70,0,0,9.82,0,0,4.91,0.98,6.87,4.91,16.69,1.96,0,0.98,1.96,0,0,2.94,0,0,106,2.94,4.91,10.8,30.43,0,2.94,3.93,0,0.98,7.85,0,0,0,0,9.82,1.96,4.91,3.93,0.98,0
 72-82,0.98,0.98,12.76,0,0,14.72,0,3.93,4.91,34.36,2.94,0.98,2.94,1.96,1.96,0.98,1.96,0,0,156.08,2.94,6.87,19.63,30.43,0,2.94,3.93,0,0.98,7.85,0,0,0,0,1.96,0,1.96,26.5,4.91,1.96
 84-94,1.06,0,20.18,1.06,1.06,22.3,0,4.25,7.43,16.99,6.37,0,3.19,4.25,2.12,0,1.06,1.06,2.12,76.47,5.31,1.06,5.31,25.49,4.25,1.06,3.19,0,0,22.3,0,1.06,0,0,1.06,1.06,0,15.93,3.19,3.19
 96-106,3.28,0,32.79,2.19,0,18.58,2.19,8.74,4.37,19.67,10.93,0,5.46,5.46,2.19,2.19,1.09,2.19,1.09,101.63,4.37,8.74,8.74,24.04,2.19,6.56,4.37,0,1.09,22.95,0,2.19,0,0,3.28,2.19,0,19.67,4.37,1.09
108-118,1.53,0,27.57,0,1.53,16.09,0,7.66,3.83,21.45,10.72,0,1.53,3.06,0.77,3.06,3.06,1.53,2.3,101.87,1.53,4.6,9.96,25.28,1.53,2.3,3.83,0,0.77,18.38,0,0.77,0.77,0,5.36,1.53,6.13,13.02,3.06,2.3
120,0,0,21.56,0,0,17.64,0,11.76,0,17.64,3.92,0,1.96,0,0,0,1.96,3.92,0,68.59,0,0,7.84,17.64,1.96,0,1.96,0,3.92,11.76,0,0,0,0,1.96,1.96,1.96,11.76,1.96,0
