stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,xanthophores
  3-4,65.89,1014.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0
  5-6,104.2,1434.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,30.65,0,0,0,0,0,0
  7-9,23.66,34.17,0,23.66,0,0,36.8,0,0,0,36.8,0,0,0,0,0,0,0,0,583.57,7.89,0,0,194.52,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,3.15,15.73,0,0,0,12.59,0,0,0,0,0,0,0,0,176.23,3.15,0,0,88.12,0,3.15,0,9.44,0,0,0
 14-21,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,3,0,0,1,14,3,1,1,0,0,0,3,0,4,2,0
 24-34,0,0,0.82,0,4.1,0,0.82,1.64,0.82,0.82,0,0.82,0,0,0.82,1.64,0.82,0,0,8.21,0,1.64,2.46,0,4.93,0,0,0,0.82,2.46,0
 36-46,0,0,0,0,2.42,0,1.61,0,0,0,0,0,0,0,0,0.81,0.81,0.81,0.81,12.89,0,0,0.81,0,1.61,0,0,0,0,1.61,0
 48-58,0,0,0,0,1.15,0,1.15,0,1.15,0.57,0,0,0.57,0,0,0.57,0.57,0,0,0.57,0,0,2.3,0,1.15,0,0,0,0,0.57,0
 60-70,0,0,0,0,3.93,0,1.96,0,0,0,0,0,0,0,0,2.94,0,0,0,0.98,0,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,2.94,1.96,0,0,3.93,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,0,2.12,0,2.12,0,2.12,0,1.06,0,0,0,0,1.06,0,0,0,2.12,0,0,0,0,8.5,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,2.19,1.09,2.19,0,1.09,0,0,0,0,0,0,1.09,0,0,0,2.19,0,0,1.09,0,2.19,0,0,1.09,0,0,0
108-118,0,0,0,0,3.83,0,1.53,0,0.77,0,0,0.77,0,0.77,0,2.3,0.77,0,0,3.06,0,0.77,0.77,0,8.43,0,0,0,0,0,0
120,0,0,0,0,13.72,0,5.88,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,7.84,0,0,0,0,0,0
