stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0
 36-46,0,0,0,0.81,2.42,0,0,0.81,0,0,0,7.25,0,0,0,0.81,0,0
 48-58,0,0,0,2.3,5.16,0,0,0.57,0,0.57,0,10.33,0,0,0,0.57,0,0
 60-70,0,0,0,1.96,6.87,0,0,0.98,0,0,0.98,10.8,0,0,0.98,2.94,0,0
 72-82,0,0,0,3.93,3.93,0,0,0.98,0,0,0,2.94,0,0,0.98,0,0.98,0
 84-94,0,0,0,2.12,5.31,0,0,0,0,0,1.06,4.25,0,0,2.12,0,0,0
 96-106,0,1.09,0,2.19,3.28,0,0,0,0,2.19,0,8.74,0,0,0,0,0,0
108-118,0,0,0.77,0.77,7.66,0.77,0.77,0,0.77,0,0,2.3,0,0,0.77,0,0,0
120,0,0,0,0,7.84,0,0,0,0,0,1.96,3.92,0,1.96,0,0,1.96,1.96
