stage,axial,blastomeres,epidermis,eye,glial,gut,hatching_gland,mesenchyme,mucous,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord,vasculature
  3-4,65.89,2688.3,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0
  5-6,12.26,251.32,0,0,0,0,0,0,0,30.65,0,0,0,6.13,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,2.63,0,0,28.92,2.63,0,15.77,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0.82,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0.57,0.57,0,0,0,0,6.31,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,1.96,0,3.93,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,3.19,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0
