stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,1.61,2.42,0,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0.57,0,0,0
 60-70,0,2.94,0,0,0.98,0,0,0,0,0,0,0,0,0,12.76,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,6.87,0,1.96,0.98,0.98,0.98,0,0,0.98,0,0,0,0,136.45,0.98,0,0.98,6.87,0,0,0,1.96,0,0,0.98,0,0
 84-94,0,20.18,0,5.31,1.06,0,1.06,0,0,0,0,2.12,0,0,110.45,0,0,0,3.19,0,1.06,0,0,0,0,1.06,0,0
 96-106,0,50.27,0,3.28,4.37,0,1.09,1.09,0,0,0,0,1.09,1.09,103.82,0,1.09,0,6.56,0,3.28,0,0,0,1.09,0,1.09,0
108-118,0,49.02,0,3.83,6.89,0,0.77,1.53,0,0,1.53,3.06,0,0,80.43,0,0,0,5.36,0.77,1.53,0,0.77,0.77,0,0,0.77,0
120,0,33.32,0,0,3.92,0,0,0,0,1.96,0,5.88,0,0,70.55,0,0,0,1.96,0,0,0,0,0,0,0,0,0
