stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,xanthophores
  3-4,342.63,5785.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737.96,0,0,0,0,0,0,0
  5-6,220.67,1851.15,0,18.39,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,49.04,0,0,0,30.65,545.54,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,7.89,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,189.27,2.63,0,0,70.98,47.32,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,37.76,3.15,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,12,0,0,0,1,0,0,0,11,0,0,0,0,0,1,0,0,0,0,3,0,1,0,4,1,0,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,0.82,0.82,38.58,0,0.82,0,11.49,0.82,7.39,0,7.39,2.46,0,2.46,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,2.42,0,0,1.61,0.81,18.53,2.42,0,0,15.31,0,20.95,0.81,10.47,0.81,0,4.03,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,1.15,0,0,0.57,8.03,6.31,0.57,0.57,0,14.35,0.57,7.46,0,7.46,1.15,0,2.87,0,0,0.57,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,0.98,0,0,0.98,5.89,9.82,0.98,0,0,8.83,0,3.93,0,4.91,3.93,0,3.93,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.93,0.98,0,1.96,0.98,0.98,2.94,2.94,19.63,5.89,0,0,29.45,1.96,15.71,0,15.71,3.93,0,3.93,0,0,0,0,0,10.8,0.98
 84-94,0,0,0,0,10.62,0,0,1.06,0,0,2.12,4.25,26.55,4.25,0,0,25.49,0,6.37,0,13.81,1.06,0,20.18,0,0,2.12,0,0,29.74,0
 96-106,0,0,0,0,19.67,1.09,0,0,2.19,1.09,14.21,1.09,43.71,13.11,1.09,1.09,24.04,2.19,4.37,0,36.06,3.28,0,16.39,0,0,0,0,0,108.19,0
108-118,0,0,0.77,0,10.72,0,0.77,3.06,2.3,0,9.96,0,22.98,7.66,0,1.53,11.49,0,3.06,0,19.15,0.77,0,15.32,0,0,0.77,0,0,112.6,0
120,0,0,0,0,11.76,0,0,1.96,3.92,1.96,5.88,0,11.76,11.76,0,0,5.88,0,0,0,15.68,0,0,5.88,0,0,0,0,0,35.28,0
