stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,36,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
 24-34,0.82,0.82,269.24,2.46,0,0,0.82,0,0.82,0.82,0,0,0,0.82,2.46,0,0.82,0.82,9.03,0,0.82,0.82,0,4.1,0,4.1,0,0,2.46,0
 36-46,0,0,195.78,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,12.89,0.81,0,0,0,1.61,0,5.64,0,0,2.42,0.81
 48-58,0,0.57,234.69,1.15,0,0,1.15,0,0,0.57,0,0,0,0,3.44,0,0,0,12.05,0,0,0,0,1.15,0,2.3,0,0,0.57,0
 60-70,0,0.98,387.7,2.94,0,0,0,0,0,0,0,0.98,0.98,0,1.96,0,0,0,13.74,0,0,0,0,2.94,0,0,0,0,1.96,0
 72-82,0,0,181.61,1.96,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0,3.93,0,0,0,0,1.96,0,0,0,0,3.93,0
 84-94,0,1.06,145.5,0,1.06,0,0,0,0,2.12,0,0,0,1.06,0,0,0,0,5.31,0,1.06,0,0,7.43,0,0,0,0,0,0
 96-106,0,0,92.89,0,0,2.19,0,0,0,1.09,0,0,0,0,2.19,1.09,1.09,0,2.19,0,0,0,0,6.56,0,1.09,0,0,1.09,1.09
108-118,0,0.77,72.77,0.77,0,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0,1.53,0,0.77,0,0,4.6,0,0,0.77,0.77,0.77,0
120,0,0,101.91,0,0,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0,0,3.92,1.96,0,0,0,0,0
