stage,axial,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,mesenchyme,muscle,neural,notochord,otic,periderm,spinal.cord,vasculature
 14-21,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0.82,0.82,0,27.09,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,16.11,0,0,0
 48-58,0,0,0,3.44,0,0.57,0,0,0,5.16,0,10.9,0,2.87,0.57
 60-70,0,0,0,4.91,0,0,0,0,0,3.93,0,13.74,0,0,0
 72-82,0,0,0,1.96,0,0,0.98,0,0,4.91,0,24.54,0,0.98,0
 84-94,0,0,0,2.12,0,0,0,1.06,0,0,0,20.18,0,1.06,0
 96-106,0,0,0,3.28,0,0,0,3.28,0,3.28,0,28.41,1.09,0,1.09
108-118,0,0,0.77,1.53,0,1.53,0,1.53,0,1.53,0,26.81,0.77,0,0
120,1.96,3.92,0,0,0,0,0,0,0,0,1.96,33.32,0,0,0
