stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,periderm,spinal.cord,vascular.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,17.24,0,0,6.57,0,0
 36-46,0,0,1.61,0,0,0,0,0,0.81,0,68.48,0,0,12.09,0,0
 48-58,0,0,9.18,0,2.3,0,0,0,1.72,0,148.04,0,0,15.49,0,0
 60-70,0.98,0,47.11,0,1.96,0,0.98,0.98,1.96,0,221.82,0,0,18.65,0,0
 72-82,1.96,0,52.03,0,5.89,0,0,0,11.78,0,231.67,0,0,13.74,0.98,0
 84-94,2.12,1.06,36.11,0,5.31,0,0,0,2.12,0,117.89,0,0,7.43,0,0
 96-106,0,1.09,25.14,0,4.37,0,0,0,6.56,1.09,95.08,0,0,2.19,0,0
108-118,1.53,0,21.45,0.77,3.83,0.77,0,0,3.06,0,83.49,0,0,0.77,0,0.77
120,0,0,21.56,0,5.88,0,1.96,0,3.92,0,131.31,0,1.96,0,0,0
