stage,axial,blastomeres,endoderm,eye,fin_mesenchyme,glial,mesenchyme,neural,otic,paraxial_mesoderm,periderm,pgc,spinal_cord
  3-4,52.71,1726.31,0,0,0,0,0,0,0,0,79.07,0,0
  5-6,36.78,514.89,0,0,0,0,0,49.04,0,0,6.13,0,0
  7-9,0,2.63,2.63,0,0,0,0,23.66,0,7.89,0,10.51,0
 10-12,0,0,3.15,3.15,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,3,0,0,0,3,1
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,1.61,0,0,0,1.61,0.81
 48-58,0,0,0,1.15,0,1.15,0,0.57,0.57,0,0.57,0.57,0.57
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,0.98,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0
