stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,258,0,0,13,0,1,0,2,0,0,0,0,0,0,0,0,9,1,0,1,51,2,1,0,1,0,0,2,38,1,2,9,0,0,0,0,0
 24-34,0,0,0,2.46,494.98,0.82,0,24.63,0.82,28.73,0.82,6.57,3.28,0,0,0.82,0,6.57,0.82,0,17.24,1.64,0,7.39,150.22,0.82,7.39,3.28,0,0,0.82,0,42.68,0,0,34.48,0,0,1.64,0,0
 36-46,0,0,0,0.81,391.56,0,0,16.11,0.81,70.09,0.81,19.34,4.03,0,0.81,0.81,0,4.03,0.81,0.81,19.34,5.64,0,4.03,115.21,1.61,14.5,6.45,0,0.81,0.81,0,20.14,2.42,1.61,33.03,0,0,1.61,0,0
 48-58,0,0,0,0.57,323.63,0,0,37.3,1.72,105.01,1.72,39.59,4.59,0.57,0,0,1.15,5.16,1.15,0.57,27.54,2.87,1.15,1.72,105.58,1.15,5.74,10.9,0,0,0.57,0,14.35,0.57,0,19.51,0,0,1.15,0,1.15
 60-70,0.98,0,0,1.96,264.03,0,0,37.3,1.96,95.21,5.89,59.87,14.72,0,0.98,0,0,5.89,0,0,31.41,5.89,0.98,3.93,99.13,0,5.89,12.76,0,0,0.98,0,23.56,0,0,5.89,0.98,1.96,1.96,3.93,0
 72-82,0,0,0.98,0.98,323.95,0.98,0,51.05,0,110.93,7.85,78.53,25.52,1.96,0,3.93,0,6.87,0,0,63.81,3.93,4.91,5.89,135.47,0,11.78,34.36,0,0,1.96,0,23.56,0,0,15.71,0,6.87,4.91,10.8,0
 84-94,0,0,0,2.12,549.07,1.06,0,50.98,2.12,217.72,5.31,40.36,41.42,0,1.06,3.19,2.12,4.25,1.06,0,37.17,2.12,9.56,5.31,73.28,1.06,9.56,29.74,0,0,1.06,0,52.04,0,0,7.43,4.25,3.19,2.12,10.62,1.06
 96-106,0,0,2.19,0,524.57,0,0,48.09,0,226.22,6.56,39.34,31.69,0,0,4.37,0,6.56,1.09,0,33.88,8.74,7.65,2.19,98.36,0,24.04,22.95,0,0,5.46,0,45.9,0,0,6.56,3.28,5.46,2.19,18.58,0
108-118,0,0,0,1.53,459.58,0,0.77,43.66,1.53,291.07,4.6,29.87,22.98,2.3,1.53,13.02,1.53,10.72,0.77,0,30.64,5.36,6.13,1.53,72.77,0,13.02,24.51,0,0.77,2.3,0,40.6,0.77,0,3.06,5.36,3.83,3.83,19.15,0
120,1.96,0,0,0,299.85,0,0,23.52,0,162.66,3.92,21.56,5.88,1.96,0,0,0,11.76,0,0,23.52,5.88,7.84,3.92,82.31,0,9.8,23.52,0,0,1.96,0,37.24,0,0,3.92,5.88,1.96,3.92,19.6,0
