stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,42.91,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,6.13,0,0,0,0,0,0,0
  7-9,5.26,0,0,7.89,0,0,0,7.89,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,84.12,5.26,0,0,39.43,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,8,0,0,5,0,0,48,0,0,0,0,0,0,1,0,0,2,0,0,0,810,2,1,36,1,1,1,586,0,0,0,0,0
 24-34,0,0,0,0.82,6.57,0.82,0,27.09,0,1.64,66.49,0,0,0,0.82,0,0.82,5.75,0,1.64,4.1,0,0,1.64,2202.36,1.64,25.45,64.03,0,9.03,0.82,972.71,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,87.01,0,0.81,59.62,0,0,0,0,0,0,2.42,0,3.22,8.06,0,0,2.42,1442.95,0,29,33.84,0,4.03,0,686.43,0,0,0,0,0.81
 48-58,0,0,0,0,3.44,0,0,251.9,0.57,1.15,69.43,0,0,0,0.57,0,0,7.46,0,1.72,8.61,0,0,2.87,797.01,0.57,18.36,28.12,0,2.87,0,333.38,0,0,0,0,0
 60-70,0,0,0.98,0.98,5.89,0,0,435.8,1.96,0,138.39,0,0,0,0,0,1.96,8.83,0.98,0,8.83,0,0.98,0.98,911.83,0.98,18.65,24.54,0,0.98,0,171.77,0,0.98,0.98,0,0
 72-82,0,0,0,0.98,5.89,0,0,412.3,1.96,1.96,199.28,1.96,0,0,2.94,0,0.98,11.78,0,0,34.36,0,0,0.98,932.58,0,40.25,33.38,0,4.91,0,102.09,1.96,0.98,0.98,0,0
 84-94,0,0,0,1.06,6.37,2.12,0,334.54,0,0,148.69,2.12,0,1.06,2.12,2.12,3.19,20.18,0,1.06,19.12,0,3.19,1.06,545.89,0,31.86,45.67,0,6.37,0,67.97,2.12,0,1.06,0,0
 96-106,0,0,1.09,1.09,10.93,3.28,0,308.18,0,0,136.61,0,0,1.09,2.19,2.19,1.09,17.49,0,1.09,12.02,1.09,0,1.09,456.81,0,39.34,39.34,1.09,6.56,0,34.97,0,0,2.19,3.28,0
108-118,0,0,0,5.36,12.26,2.3,0.77,282.64,0,0.77,154.72,0.77,0,0,0.77,3.06,1.53,14.55,0,1.53,16.09,0.77,0.77,0,527.75,0.77,26.04,40.6,0,4.6,0,19.92,0,0,1.53,0.77,0.77
120,0,0,1.96,1.96,9.8,1.96,0,286.13,1.96,0,164.62,1.96,0,0,3.92,1.96,3.92,9.8,0,0,19.6,0,3.92,1.96,584.02,0,21.56,37.24,0,9.8,0,21.56,0,0,1.96,0,0
