stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1357.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,968.48,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,12.26,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,13.14,0,0,0,0,0,34.17,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,294.42,21.03,0,0,78.86,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,22.03,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657.72,28.32,0,0,116.44,3.15,6.29,0,12.59,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,12,6,0,15,0,0,0,10,0,0,0,0,1,1,0,0,0,10,0,7,888,11,0,0,5,1,0,12,1,0,4,269,0,1,0,0
 24-34,0,0,0.82,0,9.85,0,0,67.31,0,0,0,21.34,0,0,0,0,0,0.82,0,0,0,27.91,0,15.6,1044.95,2.46,4.1,1.64,0,6.57,0,0.82,0,0.82,0,374.31,0,4.1,0,0
 36-46,0,0,0,0,4.03,0,0,121.66,0,0,0,13.7,0,0,0,0,0,0,0,0,0.81,20.95,2.42,8.86,577.66,1.61,0.81,1.61,0,4.03,0,0,0,0,0,271.51,0,4.03,0,0.81
 48-58,0.57,0,0.57,0,7.46,0.57,0,171.57,0.57,0,0,10.9,0,0,0,0,0,1.15,0.57,0,0,41.31,0.57,9.75,176.16,0,0.57,0,0,2.87,0,0,0,0,0,65.41,0,3.44,0,0.57
 60-70,0,0,0,0,8.83,0,0,144.28,0,0,0.98,17.67,0.98,0,1.96,0,0,0,0,0,0,25.52,3.93,7.85,112.88,0.98,0.98,0,0,4.91,0,0,0,0,0,11.78,0,4.91,0,0.98
 72-82,0,0,0,0,6.87,0,0,50.06,0,0.98,0,11.78,1.96,0,0.98,0,0.98,0.98,0,0,0,29.45,0.98,7.85,106.02,0,1.96,0.98,0,1.96,0,0,0,0,0,2.94,0,4.91,2.94,0.98
 84-94,0,0,0,0,18.05,2.12,0,56.29,0,0,0,5.31,3.19,0,1.06,1.06,0,2.12,0,0,0,25.49,5.31,6.37,67.97,0,0,1.06,0,1.06,0,0,0,0,0,7.43,0,8.5,0,0
 96-106,0,0,0,0,10.93,0,1.09,33.88,0,0,0,14.21,4.37,0,1.09,2.19,0,2.19,1.09,0,0,20.76,2.19,3.28,68.85,0,1.09,1.09,0,1.09,0,0,1.09,0,0,2.19,2.19,3.28,1.09,0
108-118,0,0,0,0,6.89,1.53,0,29.87,0,0.77,0,9.19,1.53,0,0.77,2.3,0,0.77,0.77,0,0,19.92,0.77,5.36,68.94,0,0.77,2.3,0,0.77,0,0,0,0,0,2.3,0,3.06,0.77,0.77
120,0,0,0,0,3.92,1.96,0,21.56,0,0,0,3.92,0,0,1.96,1.96,0,0,0,1.96,0,15.68,0,1.96,64.67,0,0,0,0,0,0,0,0,0,0,0,0,5.88,1.96,0
