stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,975.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,588.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,12.26,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,10.51,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,76.23,7.89,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,9.44,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,11,0,0,0,0,0,1,4,6,0,0,3,0,0,0,0,0,0,0,4,30,0,1,0,0,0,8,0,3,0,2,43,0,0,1,0,0
 24-34,0,0,2.46,0.82,2.46,0.82,0,5.75,0.82,0,2.46,0,0,0,0,3.28,0,0,0,0,4.93,0.82,0,0.82,142.01,0,2.46,0.82,0,0,13.95,0,0,0.82,0,73.88,0,0,7.39,0,0.82
 36-46,0,0,0.81,0,0.81,0,0,12.09,0,0,3.22,0,0,0,0,0.81,0,0,0.81,0,1.61,0,0,1.61,315.02,0,8.06,2.42,0,0,13.7,0,0,0.81,0,71.7,0,0,8.06,0,0
 48-58,0,0,2.87,0,2.3,0,0,60.25,0.57,0,12.05,0.57,0.57,0,0.57,1.15,0,0.57,0,0,8.61,1.15,0,1.72,362.64,0,4.59,0.57,0,0,8.03,0,0,0,0,82.63,0,0,4.02,0,0.57
 60-70,0,0,0.98,0,3.93,0,0,156.06,1.96,0.98,18.65,1.96,0.98,0,0.98,0,0,0,0,0,12.76,1.96,0,0,546.71,0,5.89,0.98,0,0,6.87,0,0,0.98,0,77.54,0,0,2.94,0,1.96
 72-82,0,0,5.89,0,8.83,0.98,2.94,223.82,0.98,0,33.38,4.91,0,0.98,0,0.98,0,0,0,0,19.63,1.96,0,0.98,608.63,0,14.72,3.93,0,0.98,4.91,0,0,0,0,72.64,0,0,11.78,1.96,1.96
 84-94,0,0,3.19,0,7.43,1.06,0,159.31,0,1.06,28.68,14.87,0,2.12,1.06,2.12,2.12,0,2.12,0,10.62,2.12,1.06,2.12,288.87,0,7.43,4.25,0,0,10.62,0,0,2.12,0,26.55,0,1.06,10.62,0,1.06
 96-106,0,0,4.37,0,15.3,3.28,5.46,144.26,1.09,1.09,25.14,18.58,0,1.09,0,2.19,0,4.37,2.19,0,12.02,6.56,2.19,1.09,241.52,0,5.46,7.65,0,0,12.02,1.09,0,1.09,0,28.41,1.09,0,14.21,1.09,0
108-118,0,0,3.83,0,16.09,1.53,25.28,97.28,1.53,0,13.79,19.15,0,0.77,0.77,0.77,0,0,0,1.53,10.72,3.83,0,0.77,301.02,0,8.43,8.43,0,0,4.6,0,0,0,0,13.79,2.3,0.77,3.06,1.53,0.77
120,0,0,1.96,0,17.64,1.96,9.8,84.27,0,1.96,15.68,15.68,0,0,0,1.96,0,1.96,0,0,7.84,5.88,0,1.96,388.04,0,5.88,5.88,0,0,7.84,0,0,0,0,25.48,1.96,0,11.76,0,0
