stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,764.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,53.5,6.29,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,5,24,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,10,0,0,6,122,0,2,0,1,0,0,1,1,0,0,8,109,0,0,1,0,0
 24-34,0,0,2.46,1.64,0.82,0,6.57,0.82,0.82,4.1,2.46,0,0,0,0,0,0,0,0,0,19.7,0,0,9.85,674.74,2.46,5.75,0,0,0,1.64,0,0,1.64,0,4.93,238.87,0,0,11.49,0,0
 36-46,0,0,1.61,2.42,0,0,41.09,0,0,6.45,6.45,0,0,1.61,0.81,0,0,0,0,0,30.62,0,0,16.11,1467.93,0.81,11.28,1.61,0,0.81,1.61,0,0,1.61,0,0.81,360.94,0,0,8.06,0,0
 48-58,0,0,0.57,5.74,1.72,0,215.75,0,1.15,7.46,26.97,0,0,1.15,1.72,0.57,0.57,0.57,0,1.15,51.07,0,1.15,11.48,1771.34,0,7.46,0,0,0,2.87,0,0,0.57,0,0,337.97,0,0,6.31,0,4.59
 60-70,0,0,2.94,4.91,0.98,0,643.88,0,0.98,5.89,53.98,0.98,0,0.98,4.91,0.98,0,0,0,0,78.52,0,7.85,8.83,2218.24,0,8.83,0,0,0,3.93,0,0,0.98,0,0,324.88,0,1.96,6.87,0,0.98
 72-82,0,0,5.89,10.8,2.94,0,845.21,0,0.98,18.65,125.65,0.98,0,1.96,1.96,0.98,0.98,2.94,1.96,0,134.49,0.98,5.89,7.85,1930.93,0,7.85,1.96,0,2.94,4.91,0,0,0,0.98,0,166.88,0.98,3.93,38.28,4.91,0.98
 84-94,0,0,4.25,22.3,6.37,0,519.34,0,4.25,6.37,90.27,2.12,0,1.06,10.62,0,4.25,1.06,2.12,6.37,90.27,1.06,5.31,6.37,1041.86,0,4.25,1.06,0,0,6.37,0,0,0,0,0,104.08,0,6.37,21.24,5.31,2.12
 96-106,0,0,5.46,10.93,3.28,0,425.12,3.28,1.09,5.46,104.91,6.56,0,2.19,4.37,1.09,2.19,0,3.28,3.28,98.36,1.09,5.46,4.37,897.23,2.19,14.21,2.19,0,2.19,10.93,0,0,0,1.09,0,50.27,1.09,3.28,14.21,7.65,0
108-118,0,0,1.53,13.79,3.06,0.77,332.43,1.53,0.77,11.49,96.51,1.53,0,1.53,5.36,0.77,2.3,0,1.53,3.06,102.64,0,2.3,9.19,959.75,0.77,12.26,3.06,0,1.53,3.06,0,0,3.06,0.77,0,28.34,0.77,3.83,19.15,6.89,0.77
120,0,0,1.96,9.8,1.96,0,272.41,0,1.96,3.92,103.87,0,0,1.96,9.8,0,1.96,0,0,1.96,74.47,0,1.96,11.76,1001.45,1.96,17.64,0,0,5.88,3.92,0,0,0,0,0,27.44,0,3.92,29.4,5.88,1.96
