stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,1,0,0,0,4,0,0,0,10,0,0,0,0,0
 24-34,0,0,2.46,4.1,0,0,6.57,0,0,0,6.57,0,0,0.82,0,0,0,0,0.82,0.82,3.28,0,0,0.82,433.41,22.98,1.64,0,0,5.75,0,0,0,0,0.82,93.58,0,0,0,0,0
 36-46,0,0.81,0,2.42,0,0,41.09,0,0,0,20.14,0,0,0.81,0,0,0,0,0.81,0,11.28,0,0.81,1.61,1413.14,44.31,0,0,0.81,1.61,0,0,0.81,0,0,369,0,0,0,0,0
 48-58,0,0,0,4.59,0.57,0,93.53,0,1.15,0,26.97,0,0,0,0,0,0,0,0,1.15,9.75,1.15,1.15,1.72,1034.57,39.02,0.57,0,0,6.31,0,0,0,0,0,364.37,0,0,1.72,0,0
 60-70,0,0,0,3.93,0,0,115.82,0,1.96,0,11.78,0,0,0,0,0,0,0,0.98,0,14.72,0,0,0.98,1008.02,32.39,0,0,0,3.93,0,0,0,0,0,162.93,0,0.98,0,0,0
 72-82,0,0.98,0,4.91,0,0,119.76,0.98,0,2.94,27.49,2.94,0,0.98,0.98,0,0.98,0.98,0,0,15.71,0,0,0,784.35,55.95,0,0,0,2.94,0.98,0,0,0.98,0,75.59,0,0.98,0.98,0,0.98
 84-94,0,0,0,8.5,0,0,94.52,1.06,1.06,2.12,16.99,2.12,1.06,0,0,1.06,0,0,1.06,1.06,11.68,0,2.12,1.06,404.64,47.79,3.19,0,0,5.31,0,0,1.06,0,0,45.67,1.06,0,1.06,1.06,0
 96-106,0,2.19,0,4.37,2.19,1.09,63.39,0,1.09,1.09,17.49,5.46,0,0,0,0,0,0,2.19,2.19,10.93,1.09,1.09,1.09,308.18,63.39,2.19,0,0,8.74,0,0,0,0,0,10.93,0,0,3.28,1.09,0
108-118,0,0.77,0,5.36,0,0.77,53.62,0.77,0.77,0.77,11.49,2.3,0,0,0,0,0.77,0.77,3.83,2.3,8.43,0,0.77,0.77,327.83,39.83,2.3,0,0,5.36,0,0,0,0,0,15.32,0.77,0,1.53,1.53,0
120,0,5.88,0,7.84,0,0,48.99,0,0,1.96,19.6,0,0,0,3.92,0,0,0,3.92,0,7.84,0,0,0,358.64,29.4,3.92,0,0,1.96,0,0,1.96,0,0,17.64,0,0,0,0,0
