stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,3.28,0,10.67,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,3.28,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,2.42,0,9.67,0,1.61,0,1.61,0,0,0,0,0,0,0,0,0.81,0,0,0,4.83,0.81,0,0,0,1.61,0,0,0,3.22,0,0,0.81,0,0
 48-58,0,0,0,2.3,0,3.44,0,0.57,0,1.72,0,0,0,0,0,0.57,0,0,1.15,0,0,0,6.31,0,0,1.15,0,0.57,0,0,0,2.3,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,130.54,0,0.98,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0,5.89,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,14.72,2.94,708.76,0,0.98,0.98,15.71,2.94,0,0.98,0,1.96,0,2.94,0,26.5,2.94,0.98,1.96,66.75,0,0,3.93,0,4.91,0,0,0,7.85,0,2.94,3.93,0.98,0.98
 84-94,0,0,0,12.74,4.25,789.09,1.06,2.12,2.12,10.62,0,0,1.06,4.25,2.12,0,0,0,14.87,0,2.12,2.12,21.24,1.06,0,6.37,0,1.06,0,0,0,2.12,1.06,0,2.12,0,0
 96-106,0,0,0,6.56,5.46,656.8,0,4.37,0,4.37,1.09,0,1.09,3.28,3.28,1.09,4.37,0,9.84,0,0,1.09,49.18,0,2.19,17.49,0,13.11,0,1.09,2.19,3.28,1.09,1.09,0,0,1.09
108-118,0,0,0,15.32,2.3,502.47,1.53,2.3,0.77,6.89,0.77,0,0.77,0.77,0.77,0,0,0.77,17.62,1.53,1.53,1.53,42.89,0.77,0.77,9.96,0,6.13,0,0,0,3.06,0.77,0,1.53,0,0
120,0,0,0,13.72,5.88,607.53,0,1.96,1.96,9.8,1.96,0,0,0,0,0,3.92,0,9.8,0,3.92,0,52.91,0,3.92,7.84,0,7.84,0,1.96,0,3.92,0,0,0,0,1.96
