stage,blastomeres,epidermis,erythrocytes,fin.epithelia,gut,immune,ionocyte,mesenchyme,mucous,neural,olfactory,periderm,taste,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,1.15,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0.98,0,0.98,0,0.98,0,3.93,0.98
 84-94,0,0,0,0,1.06,2.12,1.06,0,3.19,1.06,0,1.06,7.43,0
 96-106,0,0,0,0,0,1.09,1.09,0,2.19,0,0,1.09,28.41,0
108-118,0,0,0,0,0,0.77,0,0.77,0,0,0,1.53,10.72,0
120,0,3.92,1.96,1.96,0,3.92,0,0,0,0,0,19.6,9.8,0
