stage,axial,blastomeres,endocrine.pancreas,endoderm,erythrocytes,eye,glial,gut,hatching.gland,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,0,2.63,0,0,0,23.66,2.63,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,28.32,0,0,6.29,0,3.15,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,2,0,0,2,0,0
 24-34,0,0,0,0,0.82,0.82,0,0.82,0,0.82,0,1.64,6.57,0,0,0,0,0,0,2.46,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,3.22,0,5.64,0,0,0,0,0,0,1.61,0.81,0
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,0,4.59,0,0.57,0,0,0,0,2.87,0,0.57
 60-70,0,0,0,0,0,0.98,0,0,0,0,1.96,0,0.98,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0.98,0,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,2.19,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,1.53,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,1.96,0,0,0,0,1.96,3.92,0,0,0,0,0,0,0,0,0
