stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,33,0,0,3,0,0,0,4,2,0,1,0,1,0,0,16,0,9,0,0,10,90,4,1,2,2,0,6,7,0,0,15,47,0,0,0,0,2
 24-34,0,2.46,6.57,0.82,0,23.8,0,0,1.64,4.1,0,0,0,3.28,0,0,0.82,28.73,0.82,5.75,0,0,4.93,119.84,0,0.82,1.64,0,0,4.93,0,0.82,0,3.28,36.12,0,0,0,0,6.57
 36-46,0,0,2.42,0,0,34.64,0,0.81,0.81,4.83,0.81,0,0,2.42,0,0,0.81,20.95,1.61,16.11,0,0,4.83,85.4,0,0.81,0.81,0,0,6.45,0,0,0,0,28.2,0,0,0,0,13.7
 48-58,0,0,0.57,1.15,0,44.76,0,0,0.57,4.59,0,0.57,0,8.61,0.57,1.72,0,22.95,0.57,21.23,0,0,5.74,37.87,4.59,1.72,1.15,0,0,1.72,0,1.15,0,0,8.03,0,0,1.15,0,22.95
 60-70,0,0,0.98,0.98,0,45.15,0,0.98,0,13.74,1.96,0,0,8.83,0.98,0.98,0,47.11,0,17.67,0,0.98,0.98,31.41,10.8,0,0,0,0,0.98,0,0.98,0,0,9.82,0,0.98,0,0,37.3
 72-82,0,0,2.94,3.93,0.98,39.27,0,0,3.93,11.78,4.91,0,0,11.78,0.98,0.98,1.96,160.01,0,29.45,0.98,0,3.93,43.19,9.82,0,0.98,0,0,1.96,0,0,0,0,1.96,0,0,2.94,0,61.84
 84-94,1.06,0,7.43,2.12,1.06,35.05,0,0,1.06,6.37,7.43,0,0,21.24,1.06,2.12,1.06,514.03,1.06,21.24,0,0,1.06,49.92,22.3,1.06,2.12,0,1.06,8.5,0,1.06,0,0,2.12,0,0,0,0,77.53
 96-106,1.09,0,20.76,28.41,6.56,83.06,0,4.37,5.46,28.41,18.58,0,0,29.51,5.46,5.46,3.28,813.08,0,62.29,2.19,1.09,9.84,220.76,30.6,4.37,7.65,0,0,26.23,0,0,1.09,0,5.46,2.19,3.28,12.02,4.37,109.28
108-118,0,0,16.85,12.26,8.43,81.96,0.77,4.6,2.3,34.47,11.49,0,0.77,20.68,6.13,4.6,2.3,1534.22,0.77,48.26,0,3.06,13.02,219.07,15.32,3.83,5.36,0,3.83,13.79,0,1.53,0,0,4.6,2.3,2.3,5.36,2.3,145.53
120,0,0,15.68,11.76,0,31.36,0,1.96,0,15.68,7.84,0,0,48.99,1.96,3.92,1.96,842.71,0,29.4,0,0,5.88,156.78,80.35,1.96,5.88,0,1.96,7.84,0,0,0,0,3.92,0,1.96,3.92,3.92,66.63
