stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,mesenchyme,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,1,2,0,0
 24-34,1.64,0,0,0,0,0,0,1.64,0.82,0,0,0,0.82,0,10.67,0,0,0,0,7.39,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,1.61,0,0,3.22,0,0,0,0.81,2.42,0,0,0,0
 48-58,0,0.57,0,0,0.57,0,0,7.46,1.15,0,0,0.57,0.57,1.72,8.03,0,0,0,0,0.57,0,0.57,0,0
 60-70,0,0,0,0,3.93,0,0,3.93,2.94,0,0,11.78,0.98,0.98,4.91,0,0,0,0,0.98,0,0,0,0
 72-82,0.98,0,0,0,0,0,0,2.94,3.93,0,0,9.82,0,2.94,13.74,0,0,0,0,10.8,0,1.96,0,0.98
 84-94,0,2.12,1.06,0,1.06,0,0,3.19,7.43,0,0,20.18,15.93,1.06,6.37,0,0,0,1.06,4.25,0,1.06,0,0
 96-106,0,0,1.09,0,2.19,1.09,0,5.46,26.23,0,4.37,8.74,3.28,2.19,6.56,1.09,0,0,2.19,12.02,0,1.09,0,0
108-118,0.77,0.77,0,0.77,0.77,0,0.77,4.6,26.04,0,1.53,29.87,6.13,3.83,5.36,1.53,0.77,1.53,2.3,9.96,0,0,0.77,0
120,0,0,0,0,0,0,0,0,23.52,0,0,0,1.96,0,3.92,0,0,0,3.92,9.8,0,0,0,0
