stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,26,12,2,0,0,1,0,0,0,1,0,3,7,0,0,1,0,0
 24-34,0,0.82,0,5.75,0,0,5.75,0,0,0.82,0,0,0,0,0,0,0,0.82,0,1.64,50.89,1.64,55,41.04,1.64,0,0,0,0,0,0,0,0,0.82,19.7,0,0,1.64,0,0
 36-46,0,0,0,1.61,0,0,69.29,0,3.22,8.86,2.42,0,0,0.81,0,0,0.81,0,0,2.42,62.04,0.81,30.62,128.91,0.81,1.61,0,0,0,0.81,0,0,0,0,20.14,0,0,0.81,0,1.61
 48-58,0,0,0,0.57,0,0,316.17,0,2.3,5.74,4.59,0,0,0.57,0,0,0.57,0,0,1.15,82.05,3.44,26.97,183.04,0.57,1.15,0,0,0.57,0,0.57,0,0,0,28.69,0,0,0.57,0,1.72
 60-70,0,0,0,1.96,0.98,0,943.24,0,1.96,10.8,25.52,1.96,0,0,0,0,1.96,0,0.98,0,95.21,3.93,13.74,437.76,0,1.96,0.98,0,0,0,0,0,0,0,57.91,0,0,0,0,4.91
 72-82,0,1.96,0,4.91,0,0,716.61,0,1.96,23.56,43.19,0,0,0,0.98,0,0.98,0,0,0,116.82,8.83,15.71,438.8,0.98,1.96,0.98,0,0,0.98,0,0,0,0,27.49,1.96,1.96,2.94,0.98,2.94
 84-94,0,0,0,8.5,1.06,0,428,2.12,1.06,11.68,36.11,1.06,0,2.12,0,1.06,6.37,1.06,0,1.06,72.22,7.43,9.56,254.89,0,1.06,4.25,0,0,5.31,0,0,0,0,23.36,0,0,1.06,2.12,3.19
 96-106,0,0,0,4.37,1.09,1.09,318.02,1.09,1.09,12.02,29.51,0,0,2.19,1.09,0,6.56,0,2.19,1.09,65.57,7.65,7.65,224.03,0,3.28,1.09,0,1.09,1.09,0,0,0,0,12.02,1.09,1.09,3.28,2.19,2.19
108-118,0,0,0.77,3.83,3.06,0,232.85,0.77,3.83,9.19,18.38,0,0,0,0,0,12.26,0,0,1.53,71.23,8.43,8.43,250.47,0.77,2.3,1.53,0,3.06,0.77,0,0,0,0,10.72,0.77,0,3.06,3.06,4.6
120,0,0,0,3.92,0,0,146.98,0,1.96,7.84,29.4,1.96,0,0,0,0,5.88,0,0,0,31.36,3.92,3.92,246.93,0,1.96,1.96,0,1.96,1.96,0,0,1.96,0,11.76,0,0,0,0,0
