stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,329.45,7880.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.91,0,0,0,0,0,0,0,0,0,0
  5-6,429.07,3984.26,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,140.98,12.26,0,0,42.91,73.56,0,0,0,0,0,0,0,0,0,0
  7-9,60.46,70.98,97.26,0,0,0,244.47,0,0,0,0,0,110.41,0,0,0,0,0,0,0,0,0,0,2124,73.6,0,0,785.99,5.26,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,103.85,97.56,0,25.18,0,220.29,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,1778.04,18.88,0,0,783.6,0,6.29,6.29,113.29,3.15,9.44,0,0,0,0,0
 14-21,0,0,9,82,25,0,33,0,0,0,13,4,0,0,1,2,0,0,0,42,0,0,35,589,17,1,5,27,3,0,95,6,53,184,0,0,0,0,0
 24-34,0,0,3.28,18.06,6.57,0,189.62,0,0.82,0.82,27.91,0.82,0,1.64,0,0,1.64,0,0,124.77,0,0.82,37.76,1201.73,9.85,6.57,6.57,0,7.39,0,1.64,2.46,6.57,260.21,0,0,17.24,0,1.64
 36-46,0,0,0.81,5.64,3.22,0,401.22,0,0,0.81,20.14,0,0,0.81,3.22,0,0.81,0,0,86.21,0,2.42,17.72,816.14,2.42,6.45,2.42,0,7.25,0,0,0.81,0.81,194.17,0,0,6.45,0,0
 48-58,0,0,0,4.59,2.87,0,503.8,0,0.57,0.57,24.1,0.57,0,1.15,1.15,0,1.15,1.15,0.57,79.19,0.57,2.3,8.61,357.48,0,2.3,0.57,0,1.72,0,0,0.57,0,65.41,0,0,1.15,0,1.72
 60-70,0,0,0,15.7,0.98,0,342.55,0,0,0,20.61,0,0,0,0.98,0,0.98,0.98,1.96,52.02,0,3.93,8.83,183.54,0.98,0,0.98,0,0,0,0,0,0,10.8,0,0,1.96,0,0
 72-82,0,0,0,5.89,0,0,109.95,0.98,0.98,0,31.41,0.98,0,0,0.98,0,0.98,0,1.96,52.03,0,4.91,4.91,127.62,0,0.98,2.94,0,0.98,0,0,0.98,0,0.98,0.98,0,2.94,0,0
 84-94,0,0,0,6.37,0,0,114.7,0,0,0,12.74,3.19,0,1.06,4.25,1.06,3.19,0,1.06,49.92,0,5.31,15.93,109.39,1.06,2.12,4.25,0,2.12,0,0,1.06,0,2.12,0,1.06,7.43,1.06,0
 96-106,0,0,0,5.46,0,1.09,76.5,0,0,1.09,15.3,2.19,0,1.09,5.46,0,1.09,0,0,27.32,0,1.09,1.09,95.08,1.09,0,4.37,0,1.09,0,0,0,0,3.28,0,1.09,1.09,0,0
108-118,0,0,0,6.13,4.6,0,56.68,0,0.77,0,13.79,2.3,0,0.77,7.66,0,1.53,0,0,13.02,0,0,6.13,93.45,0,1.53,1.53,0,0.77,0,0,0,0,1.53,1.53,0,6.89,0,0
120,0,0,0,3.92,3.92,1.96,47.03,0,1.96,0,27.44,0,0,0,3.92,0,3.92,0,0,31.36,0,0,1.96,92.11,0,0,0,0,0,0,0,0,0,0,0,0,13.72,0,0
