stage,axial,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,11,0,0,54,3,0,0,0,0,1,19,1,0,1,0
 24-34,0,0.82,0.82,1.64,0,1.64,0,4.1,0,0,68.13,0,0.82,104.25,5.75,0.82,0.82,0,0,0,0.82,2.46,0,0,0
 36-46,0,0,0.81,2.42,0,3.22,2.42,4.83,0,0,147.44,0,4.03,85.4,9.67,0,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,3.44,0,2.3,0.57,1.72,0,0,110.17,0.57,4.02,51.64,3.44,0.57,0.57,0,0,0,0,2.3,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,123.67,0.98,6.87,29.45,7.85,0,0.98,0.98,0,0,0,3.93,1.96,0,0.98
 72-82,0,0,0,6.87,0.98,4.91,1.96,0,0,0,126.63,0.98,10.8,27.49,8.83,0,0.98,0,0,0,0,2.94,2.94,0,0.98
 84-94,1.06,0,1.06,2.12,0,5.31,0,1.06,1.06,0,75.4,0,7.43,18.05,3.19,0,1.06,0,0,0,0,6.37,4.25,1.06,1.06
 96-106,0,0,0,3.28,0,1.09,0,2.19,0,0,102.73,0,8.74,12.02,5.46,0,1.09,0,0,0,0,5.46,2.19,0,0
108-118,0,0,0,0.77,0,1.53,1.53,0,0,0,74.3,0,6.89,13.02,5.36,0,0,0,0,0,0,2.3,0.77,0.77,0.77
120,0,0,0,1.96,0,0,0,0,0,0,64.67,0,1.96,1.96,3.92,0,0,0,0,0,0,0,0,0,0
