stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,161,34,2,0,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,16.42,0,0,0,0,1.64,0,0.82,0,0.82,1.64,0,0,8.21,21.34,1.64,0,0,0,0,0,66.49,45.15,3.28,0,0,0
 36-46,0,0,0,0,0,0,0,0,8.86,0,0,0.81,0,0.81,0,0,0,2.42,0.81,0,0,4.03,8.06,0,0,0,0.81,0.81,0,18.53,3.22,2.42,0,0,0.81
 48-58,0,0,0,0,0,0,0,5.16,13.77,0.57,0,0.57,0,1.15,0,0,0,0.57,2.87,0,0,1.15,6.89,0.57,0,0,0,0,0,10.9,0,3.44,0.57,0,0
 60-70,0,0,0,0,0,0,0,4.91,14.72,0,0,0.98,0,1.96,0,0,0,0,2.94,0,0,4.91,6.87,0,0.98,0,0.98,0,0,11.78,0,0,0,0,0.98
 72-82,0,0,0,0,0,0.98,0,4.91,17.67,0,0,0.98,0,0,0,0,0,0,1.96,0.98,0.98,2.94,7.85,0.98,0.98,0,0,0,0,2.94,0,1.96,0,0,0
 84-94,0,0,0,0,1.06,0,0,3.19,22.3,0,0,0,1.06,1.06,1.06,0,0,0,2.12,0,0,1.06,8.5,0,0,0,2.12,0,0,4.25,0,0,0,0,0
 96-106,0,0,0,0,3.28,2.19,0,7.65,36.06,1.09,0,0,0,3.28,0,0,0,0,3.28,0,0,2.19,12.02,0,0,1.09,3.28,0,0,8.74,0,0,0,0,0
108-118,0,0,0.77,0,3.83,0.77,0.77,3.06,33.7,0.77,0.77,2.3,0.77,0.77,0,0.77,0.77,0.77,0.77,0,0.77,6.13,10.72,0,0,0.77,0,0,0,6.89,0,0,0,0.77,0
120,0,0,0,0,1.96,0,0,0,13.72,0,0,0,1.96,3.92,0,0,0,0,1.96,0,0,3.92,11.76,0,0,0,1.96,0,1.96,7.84,0,0,0,0,0
