stage,blastomeres,eye,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,pericytes,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,3,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,3.22,0,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0.57,2.87,0,0,0,0,0
 60-70,0,0,0.98,0,5.89,1.96,0.98,3.93,0,0,1.96,0,0
 72-82,0,1.96,0,0,15.71,3.93,0.98,1.96,0,0,0.98,0.98,0
 84-94,0,0,0,0,15.93,1.06,1.06,5.31,1.06,0,1.06,0,0
 96-106,0,1.09,0,0,18.58,2.19,0,9.84,0,1.09,1.09,1.09,0
108-118,0,0,0,0,11.49,0.77,3.83,13.02,0,0,0,0,0
120,0,0,0,0,19.6,1.96,1.96,19.6,0,0,0,0,0
