stage,epidermis,eye,fin.mesenchyme,glial,mesenchyme,mural.cell,muscle,neural,notochord,otic,slow.muscle,spinal.cord,vascular.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,1,0,1,0,0
 24-34,0.82,0.82,0.82,0,4.93,0,5.75,0.82,0,0,0,0.82,0
 36-46,0,0.81,3.22,0,22.56,0,8.06,1.61,0,0,0,0,0
 48-58,0.57,0,4.02,0,30.99,0,4.59,2.3,0,0,0,0.57,0
 60-70,0,0.98,3.93,0.98,36.32,0,4.91,2.94,0,0.98,0,0,0
 72-82,0,4.91,0,0,85.4,0,10.8,2.94,0,0,0,0.98,0
 84-94,0,1.06,4.25,0,65.85,0,3.19,3.19,0,0,0,0,0
 96-106,0,2.19,1.09,1.09,30.6,0,3.28,5.46,0,0,0,0,1.09
108-118,0,3.83,0.77,0.77,32.94,0,2.3,5.36,0,0,0,0,0
120,0,5.88,1.96,0,21.56,1.96,3.92,1.96,0,0,0,0,0
