stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,19,1,0,0,0,0,0,0,0,26,0,0,0,0,0
 24-34,0,0,0.82,0,0,6.57,0,0,0,37.76,0,0,0,0.82,0,0,0.82,5.75,0,0,1.64,86.19,1.64,0,0,0,0,0,0,0,14.78,0,0,0,0,0
 36-46,0,0,0,0,0,12.09,0,0.81,0,139.38,0,0,0,0,0,0,0,6.45,0,0,0.81,105.54,0.81,0,0,0,0,0.81,0,0,45.12,0,0,0,0,0
 48-58,0,0,0,0,0,25.25,0,0,0,358.63,0,0.57,0,0,0,0,0.57,9.18,0,0.57,1.15,177.31,0,0,0.57,0,0,0.57,0,0,185.91,0,0,0,0,0.57
 60-70,0,1.96,2.94,0,0,26.5,0,0.98,0,593.82,0.98,0.98,0,0,0,0,0,14.72,0,0,0,129.56,0,0,0,0,0,1.96,0,0.98,173.73,0,0.98,0.98,0,1.96
 72-82,0,0,4.91,3.93,0,92.28,0,0.98,3.93,959.08,0.98,0,0,0.98,0.98,0.98,0,41.23,0.98,0.98,0.98,133.51,0,0,3.93,0,0.98,0.98,0,0,97.18,1.96,0.98,2.94,0,0
 84-94,0,0,8.5,0,0,88.15,0,1.06,0,687.14,0,0,0,1.06,0,1.06,0,20.18,0,1.06,4.25,93.46,0,0,3.19,0,0,0,1.06,0,98.77,2.12,0,0,2.12,0
 96-106,0,0,24.04,0,0,76.5,0,2.19,0,722.37,0,1.09,0,0,0,3.28,0,14.21,0,1.09,4.37,91.8,0,0,3.28,0,0,0,0,0,88.52,0,1.09,1.09,0,1.09
108-118,0,0,7.66,0,0.77,32.17,0.77,0,0,649.54,0,1.53,1.53,0,0,0,0.77,15.32,0.77,0,1.53,64.34,0,0.77,4.6,0,0,0.77,0,0,53.62,1.53,0,0.77,2.3,0
120,0,0,9.8,3.92,0,47.03,0,1.96,0,656.53,1.96,3.92,0,0,1.96,0,1.96,3.92,0,0,0,84.27,0,0,1.96,0,0,1.96,0,0,39.2,0,1.96,0,0,0
