stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1,52,2,0,29,0,0,0,0,1,0,0,0,0,0,0,0,23,8,0,0,2,647,1,0,0,1,0,0,1,1,46,0,3,223,0,0,0,0,1
 24-34,0,0,0,59.1,0.82,0,14.78,0,0,1.64,2.46,0,0,0,0,0,0.82,0.82,0,19.7,55,0,0,0,677.21,0,0.82,0.82,0,0,0.82,0,0,18.06,0,1.64,132.98,0,0,0.82,0,0
 36-46,0,0,0,33.03,0,0,129.71,0,1.61,3.22,12.09,0.81,0,0,0,0,0,0.81,0,1.61,74.12,0,0,5.64,1387.36,0,1.61,1.61,0,0.81,3.22,0,0,8.06,0,0,205.45,0,0,3.22,0,0.81
 48-58,0,0,0,45.33,1.15,0,585.28,4.59,1.72,1.15,34.43,0,1.72,0.57,1.15,1.15,2.3,1.15,0.57,2.87,103.86,1.15,0.57,5.74,1428.2,0,2.3,1.15,0,0.57,6.31,0,0,4.02,1.15,0,138.86,0,0,2.3,0,4.02
 60-70,0,0,0,43.19,2.94,0,1015.88,0,0.98,3.93,31.41,0,0.98,1.96,3.93,0,0.98,3.93,0.98,0.98,111.89,0.98,2.94,3.93,1267.14,1.96,0.98,1.96,0,4.91,6.87,0,0,4.91,0,0,49.08,0,0,1.96,0.98,5.89
 72-82,0,0,0,51.05,10.8,0,959.08,0,2.94,1.96,51.05,0.98,0,1.96,1.96,0,0.98,2.94,0.98,1.96,178.66,0,0,10.8,1006.2,0,4.91,6.87,0,3.93,6.87,0,0,4.91,0.98,0,20.61,0,6.87,8.83,5.89,6.87
 84-94,0,0,0,83.9,6.37,1.06,649.97,2.12,2.12,6.37,35.05,2.12,0,1.06,0,0,3.19,2.12,0,2.12,139.13,1.06,5.31,4.25,591.55,1.06,3.19,1.06,0,9.56,7.43,0,0,20.18,1.06,0,16.99,2.12,2.12,3.19,1.06,2.12
 96-106,0,0,1.09,69.94,12.02,0,562.82,2.19,3.28,5.46,46.99,2.19,0,4.37,2.19,0,2.19,0,2.19,0,163.93,3.28,3.28,3.28,469.92,1.09,1.09,2.19,0,6.56,10.93,0,0,16.39,0,0,5.46,0,2.19,7.65,0,1.09
108-118,0,1.53,0,44.43,6.89,0,415.15,0.77,0,3.83,33.7,2.3,0,0,2.3,0,0,0,0.77,0,176.17,3.06,1.53,3.83,645.71,0.77,0.77,0,0,7.66,5.36,0,0,11.49,0,0,0,0.77,0,3.06,1.53,2.3
120,1.96,0,0,52.91,7.84,1.96,352.76,0,3.92,0,41.16,0,0,0,1.96,1.96,1.96,0,5.88,0,115.63,1.96,0,5.88,650.65,3.92,0,1.96,0,0,9.8,0,0,11.76,0,0,5.88,0,0,3.92,0,1.96
