stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,157.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,418.55,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,15.73,0,0,6.29,0,0,0,0,0
 14-21,1,1,0,30,6,9,0,0,8,0,243,1,0,1,0,0,1,0,11,0,0,5,159,6,1,1,3,6,17,1,4,24,45,2,1
 24-34,0,0,0.82,14.78,3.28,24.63,0.82,0,8.21,0.82,76.34,0,0.82,1.64,0.82,1.64,1.64,0.82,24.63,0,0,10.67,280.73,4.1,1.64,2.46,0,10.67,0,0.82,2.46,10.67,73.06,9.03,0.82
 36-46,0,0,0,1.61,0.81,11.28,0,0,1.61,0,24.98,0,0,0.81,0,0.81,0.81,0,5.64,0,0,4.83,63.65,0,0,0,0,11.28,0,0,0,0,9.67,1.61,1.61
 48-58,0,0,0,0.57,0,6.31,0,0.57,1.15,0,43.61,0,0,0.57,0,0,0,0,5.74,0.57,0.57,0.57,25.25,0,0,0.57,0,1.15,0,0,0,0,6.31,0,0.57
 60-70,0,0,0,0,0,1.96,0,0,0,0,22.58,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0.98,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,12.76,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0.98,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,16.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
