stage,endoderm,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,3.15,0,0,0,0,0,6.29,37.76,0,0,18.88,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,3,0,0,0,0,0,0,0,6,0,24,27,10,0,0,3,0,0,6,0,86,27,0,1,0
 24-34,0,0,2.46,0,3.28,0,0,0,0,0,27.09,0,44.33,32.83,4.1,0,0,0,0,0,0,0,19.7,13.95,0,0,0
 36-46,0,0,4.03,0.81,10.47,0.81,0,0,1.61,0,28.2,0,23.36,17.72,0.81,0,0.81,0,0,0,0,0,0,5.64,0,4.03,0.81
 48-58,0,0.57,5.74,0.57,8.61,0,0,0,2.87,0,29.84,0,17.21,7.46,0.57,0,0,0,0,0,0,0,0,0.57,0,1.15,0
 60-70,0,0,4.91,0,16.69,0,0,0,0.98,0,39.26,0,19.63,4.91,0.98,0,0,0,0.98,0.98,0,0,0,0.98,0,0.98,1.96
 72-82,0,0,1.96,0,17.67,0,1.96,0,0.98,0.98,52.03,0,22.58,3.93,0,0,0,0,0.98,0,0,0,0,1.96,0,2.94,0
 84-94,0,0,6.37,0,15.93,0,1.06,0,1.06,0,31.86,1.06,9.56,0,0,1.06,1.06,0,1.06,0,0,0,0,2.12,0,2.12,0
 96-106,0,0,3.28,1.09,8.74,1.09,0,0,2.19,0,28.41,1.09,4.37,2.19,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,13.02,0,0,0,3.06,0,21.45,0.77,3.06,2.3,0,0,0,0,1.53,0,0,0,0,0.77,0.77,0.77,0
120,0,0,1.96,0,7.84,0,0,0,0,0,11.76,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
