stage,blastomeres,endoderm,epidermis,eye,glial,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,15.77,5.26,5.26,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,12.59,0,6.29,0,0,0,0,0
 14-21,0,1,2,0,0,0,0,0,1,0,2,0,1,1,3,1,1,7
 24-34,0,0,0.82,0,0,0.82,0,0,3.28,0.82,0.82,0,0,2.46,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,2.42,0.81,0,0,0,3.22,0,0,0,0.81
 48-58,0,0,0,1.72,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0.57
 60-70,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0.98,0,0,0,0
 72-82,0,0,0,2.94,0,0,0,0,0.98,0,0,0,0,2.94,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,1.06,0,1.06,0,0,4.25,0,0,0,0
 96-106,0,0,2.19,0,1.09,0,0,0,1.09,0,2.19,0,0,5.46,0,0,0,0
108-118,0,0,0.77,0,0,0.77,0,0.77,0,0,0,0,0,8.43,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0
