stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,15.77,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,6.29,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,1,2,0,0,2,0,0,0,1,0,0,0,0,1,9,0,0,0,0,0,0,3,0,2,0,0
 24-34,0,0,0,2.46,0,1.64,0.82,0,0,0,0,0,0,0,1.64,0,0.82,23.8,0,0,0.82,0,0.82,0,0,0.82,9.03,0.82,0
 36-46,0,0,0,0.81,0,4.03,0,1.61,0,0,0.81,0,0,0,4.03,0,0,28.2,0,0.81,0,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,0.57,0,4.59,0,3.44,0,0.57,0,0,0,0,2.87,0,1.15,24.1,0.57,0,0.57,0,0,0,0,0,4.02,0,0
 60-70,0,0,0,0,0,10.8,0,2.94,0,0.98,0,0,0,0,3.93,0,0,21.59,0,0,0,0,0,0,0,0,1.96,0.98,0
 72-82,0,0.98,0,0.98,0,9.82,0,1.96,0,0,0,0,0,0.98,6.87,0.98,2.94,37.3,0,0,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,1.06,0,0,0,2.12,0,0,0,0,0,0,4.25,0,1.06,10.62,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,4.37,0,2.19,0,0,0,0,0,0,4.37,0,0,9.84,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,3.06,0.77,3.83,0.77,0.77,0,0,0,0,0.77,0,0,8.43,0,0,0.77,0,0.77,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,5.88,0,0,0,0,0,0,0,0,1.96,0,0
