stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0
 24-34,0,0.82,2.46,0,0,0,0,0,0,0.82,0,0.82,0,4.93,0,0,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0.81,0,0,0,0,0
 48-58,0,0,1.15,0.57,0,0,0.57,0,0,0,0.57,0,0,0,0,0.57,0.57,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,1.06,0,1.06,0,0,1.06,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,1.09,0,0,1.09,0,0,1.09,0,0,0,1.09,2.19,0,0,0,0,0,0
108-118,1.53,0,0.77,0.77,0.77,0.77,0,0.77,0,0,0,0.77,0,0,0.77,0,0,0,1.53,0
120,3.92,0,0,1.96,0,0,0,0,0,0,0,1.96,0,7.84,0,0,0,0,1.96,0
